"year","state_fips","state_name","supersector","employment_march","establishments","payroll_quarter1"
2001,1,"Alabama","Agriculture and Mining",12010,1347,99718000
2002,1,"Alabama","Agriculture and Mining",12214,1375,108259000
2003,1,"Alabama","Agriculture and Mining",12230,1337,122765000
2004,1,"Alabama","Agriculture and Mining",11916,1323,111857000
2005,1,"Alabama","Agriculture and Mining",11246,1248,118322000
2006,1,"Alabama","Agriculture and Mining",11539,1224,131366000
2007,1,"Alabama","Agriculture and Mining",12452,1187,111696000
2008,1,"Alabama","Agriculture and Mining",10058,1151,116235000
2009,1,"Alabama","Agriculture and Mining",9203,1078,111434000
2010,1,"Alabama","Agriculture and Mining",10895,1080,136553000
2011,1,"Alabama","Agriculture and Mining",11376,1047,143835000
2012,1,"Alabama","Agriculture and Mining",9106,1048,115715000
2013,1,"Alabama","Agriculture and Mining",10654,1040,119430000
2014,1,"Alabama","Agriculture and Mining",8670,1037,115665000
2015,1,"Alabama","Agriculture and Mining",12863,1021,185645000
2016,1,"Alabama","Agriculture and Mining",10747,1028,141623000
2017,1,"Alabama","Agriculture and Mining",10086,944,138396000
2018,1,"Alabama","Agriculture and Mining",10791,951,170931000
2019,1,"Alabama","Agriculture and Mining",11952,956,200133000
2020,1,"Alabama","Agriculture and Mining",11926,946,198606000
2021,1,"Alabama","Agriculture and Mining",11086,954,179460000
2001,1,"Alabama","Construction",101803,9258,680894000
2002,1,"Alabama","Construction",94332,9182,678834000
2003,1,"Alabama","Construction",98083,9360,700569000
2004,1,"Alabama","Construction",104672,9578,729823000
2005,1,"Alabama","Construction",104978,9952,804504000
2006,1,"Alabama","Construction",110948,10212,902974000
2007,1,"Alabama","Construction",113457,10459,963137000
2008,1,"Alabama","Construction",110027,9880,1001743000
2009,1,"Alabama","Construction",94486,8863,881011000
2010,1,"Alabama","Construction",86886,8235,791199000
2011,1,"Alabama","Construction",78398,7784,751457000
2012,1,"Alabama","Construction",76318,7481,767772000
2013,1,"Alabama","Construction",76742,7359,775337000
2014,1,"Alabama","Construction",75478,7282,801322000
2015,1,"Alabama","Construction",78102,7317,828495000
2016,1,"Alabama","Construction",81364,7424,908223000
2017,1,"Alabama","Construction",82593,7535,994860000
2018,1,"Alabama","Construction",85912,7674,1054374000
2019,1,"Alabama","Construction",91457,7792,1155917000
2020,1,"Alabama","Construction",92712,7964,1220386000
2021,1,"Alabama","Construction",94890,8434,1237834000
2001,1,"Alabama","Education and Health Services",225598,9647,1551481000
2002,1,"Alabama","Education and Health Services",227488,10072,1628214000
2003,1,"Alabama","Education and Health Services",239404,10294,1761803000
2004,1,"Alabama","Education and Health Services",249834,10483,1863636000
2005,1,"Alabama","Education and Health Services",250373,10605,1879926000
2006,1,"Alabama","Education and Health Services",256079,10943,2052813000
2007,1,"Alabama","Education and Health Services",249058,11262,2111896000
2008,1,"Alabama","Education and Health Services",252276,11246,2219265000
2009,1,"Alabama","Education and Health Services",252421,11135,2254892000
2010,1,"Alabama","Education and Health Services",250387,11073,2230505000
2011,1,"Alabama","Education and Health Services",249137,10998,2278817000
2012,1,"Alabama","Education and Health Services",250745,11110,2462581000
2013,1,"Alabama","Education and Health Services",252904,11157,2500368000
2014,1,"Alabama","Education and Health Services",253625,11156,2521088000
2015,1,"Alabama","Education and Health Services",264467,11454,2670126000
2016,1,"Alabama","Education and Health Services",269274,11505,2735547000
2017,1,"Alabama","Education and Health Services",275968,11522,2927407000
2018,1,"Alabama","Education and Health Services",291177,11394,3161794000
2019,1,"Alabama","Education and Health Services",289276,11436,3261586000
2020,1,"Alabama","Education and Health Services",295421,11454,3272089000
2021,1,"Alabama","Education and Health Services",279764,11798,3273790000
2001,1,"Alabama","Financial Activities",95455,9686,891471000
2002,1,"Alabama","Financial Activities",98406,9970,988573000
2003,1,"Alabama","Financial Activities",94996,10183,1021906000
2004,1,"Alabama","Financial Activities",98654,10440,1117425000
2005,1,"Alabama","Financial Activities",99396,10798,1160390000
2006,1,"Alabama","Financial Activities",94917,10901,1158271000
2007,1,"Alabama","Financial Activities",95814,11710,1290782000
2008,1,"Alabama","Financial Activities",98232,11886,1447168000
2009,1,"Alabama","Financial Activities",94860,11417,1308615000
2010,1,"Alabama","Financial Activities",91507,11175,1190540000
2011,1,"Alabama","Financial Activities",89913,10884,1246915000
2012,1,"Alabama","Financial Activities",90934,11177,1334507000
2013,1,"Alabama","Financial Activities",88806,11011,1385955000
2014,1,"Alabama","Financial Activities",89985,11170,1500334000
2015,1,"Alabama","Financial Activities",92597,11262,1586703000
2016,1,"Alabama","Financial Activities",93295,11523,1570523000
2017,1,"Alabama","Financial Activities",92620,11691,1578547000
2018,1,"Alabama","Financial Activities",94120,11752,1721685000
2019,1,"Alabama","Financial Activities",93779,11934,1791179000
2020,1,"Alabama","Financial Activities",93662,12053,1928126000
2021,1,"Alabama","Financial Activities",95296,12243,2021983000
2001,1,"Alabama","Information",36530,1670,358577000
2002,1,"Alabama","Information",38163,1682,414564000
2003,1,"Alabama","Information",39019,1733,431316000
2004,1,"Alabama","Information",41215,1646,440554000
2005,1,"Alabama","Information",36586,1702,423329000
2006,1,"Alabama","Information",38515,1686,460955000
2007,1,"Alabama","Information",36750,1689,441335000
2008,1,"Alabama","Information",37137,1701,462662000
2009,1,"Alabama","Information",37006,1590,470144000
2010,1,"Alabama","Information",34999,1587,456896000
2011,1,"Alabama","Information",31172,1544,421632000
2012,1,"Alabama","Information",28464,1551,427926000
2013,1,"Alabama","Information",32437,1466,447105000
2014,1,"Alabama","Information",31016,1520,446296000
2015,1,"Alabama","Information",32716,1502,487419000
2016,1,"Alabama","Information",32929,1658,479351000
2017,1,"Alabama","Information",33750,1726,521440000
2018,1,"Alabama","Information",34251,1847,523818000
2019,1,"Alabama","Information",32302,1843,508406000
2020,1,"Alabama","Information",30604,1820,520550000
2021,1,"Alabama","Information",27278,1902,465242000
2001,1,"Alabama","Leisure and Hospitality",136072,7873,334968000
2002,1,"Alabama","Leisure and Hospitality",141271,8090,362873000
2003,1,"Alabama","Leisure and Hospitality",148058,8239,367577000
2004,1,"Alabama","Leisure and Hospitality",150439,8374,382827000
2005,1,"Alabama","Leisure and Hospitality",152510,8659,395775000
2006,1,"Alabama","Leisure and Hospitality",160482,8945,434570000
2007,1,"Alabama","Leisure and Hospitality",166976,9210,488188000
2008,1,"Alabama","Leisure and Hospitality",174702,9206,515733000
2009,1,"Alabama","Leisure and Hospitality",165732,9187,506888000
2010,1,"Alabama","Leisure and Hospitality",163171,9228,516896000
2011,1,"Alabama","Leisure and Hospitality",164377,9261,534401000
2012,1,"Alabama","Leisure and Hospitality",169932,9422,563739000
2013,1,"Alabama","Leisure and Hospitality",175577,9474,589991000
2014,1,"Alabama","Leisure and Hospitality",178365,9491,606972000
2015,1,"Alabama","Leisure and Hospitality",187297,9648,648205000
2016,1,"Alabama","Leisure and Hospitality",194977,9965,694928000
2017,1,"Alabama","Leisure and Hospitality",203552,10255,746008000
2018,1,"Alabama","Leisure and Hospitality",210326,10329,794534000
2019,1,"Alabama","Leisure and Hospitality",215035,10533,834287000
2020,1,"Alabama","Leisure and Hospitality",212881,10530,857601000
2021,1,"Alabama","Leisure and Hospitality",189219,10824,805822000
2001,1,"Alabama","Manufacturing",308679,5200,2488501000
2002,1,"Alabama","Manufacturing",278313,5053,2287116000
2003,1,"Alabama","Manufacturing",274193,4980,2287809000
2004,1,"Alabama","Manufacturing",270043,4964,2303291000
2005,1,"Alabama","Manufacturing",278358,4953,2423381000
2006,1,"Alabama","Manufacturing",287415,4901,2655961000
2007,1,"Alabama","Manufacturing",267366,4925,2648668000
2008,1,"Alabama","Manufacturing",265085,4926,2785652000
2009,1,"Alabama","Manufacturing",233381,4597,2427186000
2010,1,"Alabama","Manufacturing",215211,4402,2289954000
2011,1,"Alabama","Manufacturing",212445,4269,2340172000
2012,1,"Alabama","Manufacturing",214089,4288,2520356000
2013,1,"Alabama","Manufacturing",226875,4199,2602788000
2014,1,"Alabama","Manufacturing",217308,4179,2626628000
2015,1,"Alabama","Manufacturing",245882,4158,2969657000
2016,1,"Alabama","Manufacturing",248169,4109,2998831000
2017,1,"Alabama","Manufacturing",253036,4137,3197612000
2018,1,"Alabama","Manufacturing",258092,4145,3440420000
2019,1,"Alabama","Manufacturing",264061,4138,3618424000
2020,1,"Alabama","Manufacturing",264687,4102,3693566000
2021,1,"Alabama","Manufacturing",255924,4138,3591782000
2001,1,"Alabama","Other Services",84228,11439,343565000
2002,1,"Alabama","Other Services",85126,11787,362985000
2003,1,"Alabama","Other Services",82239,11557,350027000
2004,1,"Alabama","Other Services",82815,11524,355831000
2005,1,"Alabama","Other Services",83158,11562,378992000
2006,1,"Alabama","Other Services",84936,11522,406988000
2007,1,"Alabama","Other Services",85842,11557,432136000
2008,1,"Alabama","Other Services",81447,11268,419616000
2009,1,"Alabama","Other Services",79681,11154,419504000
2010,1,"Alabama","Other Services",80408,11093,413593000
2011,1,"Alabama","Other Services",79228,11010,417825000
2012,1,"Alabama","Other Services",79072,10993,440224000
2013,1,"Alabama","Other Services",79748,10958,451009000
2014,1,"Alabama","Other Services",80607,10913,478559000
2015,1,"Alabama","Other Services",80793,10925,490804000
2016,1,"Alabama","Other Services",81381,11023,499366000
2017,1,"Alabama","Other Services",81945,11085,525242000
2018,1,"Alabama","Other Services",82241,10960,545912000
2019,1,"Alabama","Other Services",81612,10937,564369000
2020,1,"Alabama","Other Services",80222,10864,575027000
2021,1,"Alabama","Other Services",74333,11172,560199000
2001,1,"Alabama","Professional and Business Services",212936,12976,1571312000
2002,1,"Alabama","Professional and Business Services",200065,13121,1584009000
2003,1,"Alabama","Professional and Business Services",210569,13210,1739889000
2004,1,"Alabama","Professional and Business Services",214682,13523,1816086000
2005,1,"Alabama","Professional and Business Services",227961,13770,1992950000
2006,1,"Alabama","Professional and Business Services",239558,14123,2197023000
2007,1,"Alabama","Professional and Business Services",249266,14522,2336912000
2008,1,"Alabama","Professional and Business Services",238190,14236,2363165000
2009,1,"Alabama","Professional and Business Services",221529,14169,2276678000
2010,1,"Alabama","Professional and Business Services",221019,14067,2223259000
2011,1,"Alabama","Professional and Business Services",236279,13916,2471173000
2012,1,"Alabama","Professional and Business Services",236719,13893,2503121000
2013,1,"Alabama","Professional and Business Services",236219,14058,2601925000
2014,1,"Alabama","Professional and Business Services",232313,14096,2625277000
2015,1,"Alabama","Professional and Business Services",249867,14362,2875909000
2016,1,"Alabama","Professional and Business Services",267912,14480,3031293000
2017,1,"Alabama","Professional and Business Services",270896,14585,3297529000
2018,1,"Alabama","Professional and Business Services",278929,14499,3565505000
2019,1,"Alabama","Professional and Business Services",287128,14529,3758493000
2020,1,"Alabama","Professional and Business Services",304116,14747,4074472000
2021,1,"Alabama","Professional and Business Services",301175,15252,4098283000
2001,1,"Alabama","Public Administration",6284,156,44855000
2002,1,"Alabama","Public Administration",4663,151,34901000
2001,1,"Alabama","Trade, Transportation, and Utilities",357107,29249,2126712000
2002,1,"Alabama","Trade, Transportation, and Utilities",345774,28884,2047029000
2003,1,"Alabama","Trade, Transportation, and Utilities",356346,28636,2153882000
2004,1,"Alabama","Trade, Transportation, and Utilities",368577,28506,2231471000
2005,1,"Alabama","Trade, Transportation, and Utilities",373252,28541,2372896000
2006,1,"Alabama","Trade, Transportation, and Utilities",381629,28745,2553908000
2007,1,"Alabama","Trade, Transportation, and Utilities",375065,29004,2630868000
2008,1,"Alabama","Trade, Transportation, and Utilities",377362,28250,2735485000
2009,1,"Alabama","Trade, Transportation, and Utilities",352821,27480,2574972000
2010,1,"Alabama","Trade, Transportation, and Utilities",341669,27110,2444503000
2011,1,"Alabama","Trade, Transportation, and Utilities",342595,26875,2557680000
2012,1,"Alabama","Trade, Transportation, and Utilities",343446,26907,2713081000
2013,1,"Alabama","Trade, Transportation, and Utilities",343622,26738,2747312000
2014,1,"Alabama","Trade, Transportation, and Utilities",351275,26706,2884962000
2015,1,"Alabama","Trade, Transportation, and Utilities",362138,26687,3033729000
2016,1,"Alabama","Trade, Transportation, and Utilities",368242,26685,3082687000
2017,1,"Alabama","Trade, Transportation, and Utilities",362961,26642,3259210000
2018,1,"Alabama","Trade, Transportation, and Utilities",381052,26413,3893805000
2019,1,"Alabama","Trade, Transportation, and Utilities",388429,26310,4051541000
2020,1,"Alabama","Trade, Transportation, and Utilities",388866,26143,4172734000
2021,1,"Alabama","Trade, Transportation, and Utilities",387945,26499,4276735000
2001,1,"Alabama","Unclassified",405,760,1328000
2002,1,"Alabama","Unclassified",640,564,2270000
2003,1,"Alabama","Unclassified",186,309,479000
2004,1,"Alabama","Unclassified",388,441,1054000
2005,1,"Alabama","Unclassified",53,186,106000
2006,1,"Alabama","Unclassified",63,258,177000
2007,1,"Alabama","Unclassified",90,102,406000
2008,1,"Alabama","Unclassified",38,125,174000
2009,1,"Alabama","Unclassified",64,135,344000
2010,1,"Alabama","Unclassified",118,201,374000
2011,1,"Alabama","Unclassified",53,155,338000
2012,1,"Alabama","Unclassified",13,68,32000
2013,1,"Alabama","Unclassified",58,118,196000
2014,1,"Alabama","Unclassified",51,164,369000
2015,1,"Alabama","Unclassified",242,204,929000
2016,1,"Alabama","Unclassified",247,184,1140000
2017,1,"Alabama","Unclassified",93,53,422000
2018,1,"Alabama","Unclassified",88,67,416000
2019,1,"Alabama","Unclassified",141,85,718000
2020,1,"Alabama","Unclassified",143,115,669000
2021,1,"Alabama","Unclassified",121,94,769000
2001,2,"Alaska","Agriculture and Mining",9417,447,194743000
2002,2,"Alaska","Agriculture and Mining",5497,408,125800000
2003,2,"Alaska","Agriculture and Mining",5346,445,118524000
2004,2,"Alaska","Agriculture and Mining",6449,442,145495000
2005,2,"Alaska","Agriculture and Mining",6277,455,139728000
2006,2,"Alaska","Agriculture and Mining",7000,452,160352000
2007,2,"Alaska","Agriculture and Mining",8115,461,177959000
2008,2,"Alaska","Agriculture and Mining",7395,445,207215000
2009,2,"Alaska","Agriculture and Mining",8702,489,234038000
2010,2,"Alaska","Agriculture and Mining",9315,541,275383000
2011,2,"Alaska","Agriculture and Mining",9028,550,252702000
2012,2,"Alaska","Agriculture and Mining",9540,581,329790000
2013,2,"Alaska","Agriculture and Mining",9908,603,297330000
2014,2,"Alaska","Agriculture and Mining",10043,618,330685000
2015,2,"Alaska","Agriculture and Mining",11304,624,374656000
2016,2,"Alaska","Agriculture and Mining",10500,650,337042000
2017,2,"Alaska","Agriculture and Mining",9180,619,287956000
2018,2,"Alaska","Agriculture and Mining",9899,620,337843000
2019,2,"Alaska","Agriculture and Mining",10878,616,368614000
2020,2,"Alaska","Agriculture and Mining",10957,614,362379000
2021,2,"Alaska","Agriculture and Mining",9266,648,309516000
2001,2,"Alaska","Construction",15140,2316,170444000
2002,2,"Alaska","Construction",14047,2490,166603000
2003,2,"Alaska","Construction",16168,2601,177800000
2004,2,"Alaska","Construction",17567,2657,198096000
2005,2,"Alaska","Construction",18847,2773,220500000
2006,2,"Alaska","Construction",20226,2695,275131000
2007,2,"Alaska","Construction",16404,2713,254767000
2008,2,"Alaska","Construction",17571,2551,285844000
2009,2,"Alaska","Construction",17204,2487,286041000
2010,2,"Alaska","Construction",17924,2461,285474000
2011,2,"Alaska","Construction",16635,2425,274883000
2012,2,"Alaska","Construction",17434,2413,305904000
2013,2,"Alaska","Construction",18737,2422,300652000
2014,2,"Alaska","Construction",17683,2511,299210000
2015,2,"Alaska","Construction",17111,2537,291346000
2016,2,"Alaska","Construction",16167,2521,273824000
2017,2,"Alaska","Construction",15889,2458,270493000
2018,2,"Alaska","Construction",16083,2461,299675000
2019,2,"Alaska","Construction",16093,2521,299227000
2020,2,"Alaska","Construction",16579,2509,312845000
2021,2,"Alaska","Construction",15721,2574,276134000
2001,2,"Alaska","Education and Health Services",33662,1928,301589000
2002,2,"Alaska","Education and Health Services",35750,1999,325053000
2003,2,"Alaska","Education and Health Services",38751,2120,359788000
2004,2,"Alaska","Education and Health Services",39849,2164,371336000
2005,2,"Alaska","Education and Health Services",36358,2183,347140000
2006,2,"Alaska","Education and Health Services",38506,2273,386499000
2007,2,"Alaska","Education and Health Services",36902,2365,375059000
2008,2,"Alaska","Education and Health Services",36359,2377,387907000
2009,2,"Alaska","Education and Health Services",39073,2409,412535000
2010,2,"Alaska","Education and Health Services",41147,2478,438346000
2011,2,"Alaska","Education and Health Services",42302,2594,484134000
2012,2,"Alaska","Education and Health Services",46938,2702,564778000
2013,2,"Alaska","Education and Health Services",47779,2719,580904000
2014,2,"Alaska","Education and Health Services",45171,2767,583756000
2015,2,"Alaska","Education and Health Services",49764,2870,660991000
2016,2,"Alaska","Education and Health Services",51605,2903,663739000
2017,2,"Alaska","Education and Health Services",52275,2974,687734000
2018,2,"Alaska","Education and Health Services",53712,2981,766693000
2019,2,"Alaska","Education and Health Services",54361,2989,798942000
2020,2,"Alaska","Education and Health Services",54661,3026,826899000
2021,2,"Alaska","Education and Health Services",54985,3071,819658000
2001,2,"Alaska","Financial Activities",11480,1436,106988000
2002,2,"Alaska","Financial Activities",10903,1494,102938000
2003,2,"Alaska","Financial Activities",11383,1534,117481000
2004,2,"Alaska","Financial Activities",11775,1564,115854000
2005,2,"Alaska","Financial Activities",11835,1620,125751000
2006,2,"Alaska","Financial Activities",12137,1633,139155000
2007,2,"Alaska","Financial Activities",12053,1671,147880000
2008,2,"Alaska","Financial Activities",12778,1641,168323000
2009,2,"Alaska","Financial Activities",12131,1646,153097000
2010,2,"Alaska","Financial Activities",11961,1606,153648000
2011,2,"Alaska","Financial Activities",11260,1620,152447000
2012,2,"Alaska","Financial Activities",10534,1646,165204000
2013,2,"Alaska","Financial Activities",11545,1641,169907000
2014,2,"Alaska","Financial Activities",11304,1676,177442000
2015,2,"Alaska","Financial Activities",11688,1677,182354000
2016,2,"Alaska","Financial Activities",11952,1725,185273000
2017,2,"Alaska","Financial Activities",11731,1725,187686000
2018,2,"Alaska","Financial Activities",11858,1773,213753000
2019,2,"Alaska","Financial Activities",11733,1748,222493000
2020,2,"Alaska","Financial Activities",11787,1774,215792000
2021,2,"Alaska","Financial Activities",11283,1854,222690000
2001,2,"Alaska","Information",6073,396,64101000
2002,2,"Alaska","Information",6306,405,69866000
2003,2,"Alaska","Information",6896,419,76987000
2004,2,"Alaska","Information",6949,385,81074000
2005,2,"Alaska","Information",7339,380,77483000
2006,2,"Alaska","Information",6316,394,87897000
2007,2,"Alaska","Information",6310,392,91782000
2008,2,"Alaska","Information",6396,375,95166000
2009,2,"Alaska","Information",6547,396,96066000
2010,2,"Alaska","Information",6151,385,91128000
2011,2,"Alaska","Information",6419,398,99447000
2012,2,"Alaska","Information",6364,395,115938000
2013,2,"Alaska","Information",6138,394,96316000
2014,2,"Alaska","Information",6322,413,106871000
2015,2,"Alaska","Information",6599,403,117688000
2016,2,"Alaska","Information",6708,408,101411000
2017,2,"Alaska","Information",6666,406,107359000
2018,2,"Alaska","Information",6497,409,112745000
2019,2,"Alaska","Information",6494,408,119178000
2020,2,"Alaska","Information",6317,409,115441000
2021,2,"Alaska","Information",6293,407,115635000
2001,2,"Alaska","Leisure and Hospitality",24521,2258,92702000
2002,2,"Alaska","Leisure and Hospitality",24915,2353,92737000
2003,2,"Alaska","Leisure and Hospitality",27137,2391,103463000
2004,2,"Alaska","Leisure and Hospitality",26865,2423,108011000
2005,2,"Alaska","Leisure and Hospitality",27582,2488,109811000
2006,2,"Alaska","Leisure and Hospitality",28260,2502,116022000
2007,2,"Alaska","Leisure and Hospitality",29248,2549,124434000
2008,2,"Alaska","Leisure and Hospitality",28791,2558,128721000
2009,2,"Alaska","Leisure and Hospitality",28664,2537,124508000
2010,2,"Alaska","Leisure and Hospitality",29161,2541,126087000
2011,2,"Alaska","Leisure and Hospitality",30439,2560,142653000
2012,2,"Alaska","Leisure and Hospitality",30159,2672,148168000
2013,2,"Alaska","Leisure and Hospitality",31111,2681,154258000
2014,2,"Alaska","Leisure and Hospitality",32077,2668,169466000
2015,2,"Alaska","Leisure and Hospitality",32679,2691,175827000
2016,2,"Alaska","Leisure and Hospitality",33091,2725,181339000
2017,2,"Alaska","Leisure and Hospitality",32559,2784,179982000
2018,2,"Alaska","Leisure and Hospitality",31564,2762,174526000
2019,2,"Alaska","Leisure and Hospitality",32553,2792,182669000
2020,2,"Alaska","Leisure and Hospitality",31783,2659,187184000
2021,2,"Alaska","Leisure and Hospitality",26995,2742,160369000
2001,2,"Alaska","Manufacturing",8963,503,70676000
2002,2,"Alaska","Manufacturing",8735,495,73313000
2003,2,"Alaska","Manufacturing",8436,511,71242000
2004,2,"Alaska","Manufacturing",8443,501,70836000
2005,2,"Alaska","Manufacturing",8126,514,71271000
2006,2,"Alaska","Manufacturing",8606,515,83212000
2007,2,"Alaska","Manufacturing",8662,506,82991000
2008,2,"Alaska","Manufacturing",9960,561,96521000
2009,2,"Alaska","Manufacturing",9731,528,89627000
2010,2,"Alaska","Manufacturing",10464,525,88236000
2011,2,"Alaska","Manufacturing",10429,533,101420000
2012,2,"Alaska","Manufacturing",9211,524,93254000
2013,2,"Alaska","Manufacturing",9580,527,91565000
2014,2,"Alaska","Manufacturing",9406,529,106881000
2015,2,"Alaska","Manufacturing",9804,535,111481000
2016,2,"Alaska","Manufacturing",10532,532,114694000
2017,2,"Alaska","Manufacturing",10143,529,111625000
2018,2,"Alaska","Manufacturing",11675,534,139834000
2019,2,"Alaska","Manufacturing",11919,546,145584000
2020,2,"Alaska","Manufacturing",12280,541,152965000
2021,2,"Alaska","Manufacturing",10353,559,139326000
2001,2,"Alaska","Other Services",11337,1721,67814000
2002,2,"Alaska","Other Services",11966,1795,75321000
2003,2,"Alaska","Other Services",10373,1717,60184000
2004,2,"Alaska","Other Services",10077,1719,62164000
2005,2,"Alaska","Other Services",10009,1742,62690000
2006,2,"Alaska","Other Services",10499,1760,69793000
2007,2,"Alaska","Other Services",10257,1794,70868000
2008,2,"Alaska","Other Services",9790,1755,70347000
2009,2,"Alaska","Other Services",10028,1760,73705000
2010,2,"Alaska","Other Services",9589,1773,70008000
2011,2,"Alaska","Other Services",9634,1811,74054000
2012,2,"Alaska","Other Services",9475,1834,77088000
2013,2,"Alaska","Other Services",9702,1815,77464000
2014,2,"Alaska","Other Services",9912,1815,80074000
2015,2,"Alaska","Other Services",9863,1795,79431000
2016,2,"Alaska","Other Services",9756,1823,80610000
2017,2,"Alaska","Other Services",10005,1833,87619000
2018,2,"Alaska","Other Services",9699,1853,86277000
2019,2,"Alaska","Other Services",9922,1859,89475000
2020,2,"Alaska","Other Services",9825,1862,92364000
2021,2,"Alaska","Other Services",9176,1888,90429000
2001,2,"Alaska","Professional and Business Services",24540,2712,261685000
2002,2,"Alaska","Professional and Business Services",25631,2720,284552000
2003,2,"Alaska","Professional and Business Services",25740,2750,291386000
2004,2,"Alaska","Professional and Business Services",26760,2828,310346000
2005,2,"Alaska","Professional and Business Services",30545,2956,344077000
2006,2,"Alaska","Professional and Business Services",34343,3001,437870000
2007,2,"Alaska","Professional and Business Services",37672,3092,494445000
2008,2,"Alaska","Professional and Business Services",38887,3075,551274000
2009,2,"Alaska","Professional and Business Services",39940,3118,577448000
2010,2,"Alaska","Professional and Business Services",39927,3175,562823000
2011,2,"Alaska","Professional and Business Services",39811,3156,580986000
2012,2,"Alaska","Professional and Business Services",39227,3203,634811000
2013,2,"Alaska","Professional and Business Services",40806,3248,651990000
2014,2,"Alaska","Professional and Business Services",40226,3231,692784000
2015,2,"Alaska","Professional and Business Services",41475,3244,730722000
2016,2,"Alaska","Professional and Business Services",42233,3281,705008000
2017,2,"Alaska","Professional and Business Services",39827,3282,674089000
2018,2,"Alaska","Professional and Business Services",44344,3254,817756000
2019,2,"Alaska","Professional and Business Services",46112,3271,861937000
2020,2,"Alaska","Professional and Business Services",47341,3263,912367000
2021,2,"Alaska","Professional and Business Services",43856,3327,792135000
2001,2,"Alaska","Public Administration",498,27,6007000
2002,2,"Alaska","Public Administration",440,25,5748000
2001,2,"Alaska","Trade, Transportation, and Utilities",59836,4489,473590000
2002,2,"Alaska","Trade, Transportation, and Utilities",59603,4578,488352000
2003,2,"Alaska","Trade, Transportation, and Utilities",59349,4621,491242000
2004,2,"Alaska","Trade, Transportation, and Utilities",60689,4627,512832000
2005,2,"Alaska","Trade, Transportation, and Utilities",62111,4645,529213000
2006,2,"Alaska","Trade, Transportation, and Utilities",62892,4601,561622000
2007,2,"Alaska","Trade, Transportation, and Utilities",60991,4632,571240000
2008,2,"Alaska","Trade, Transportation, and Utilities",61879,4561,589138000
2009,2,"Alaska","Trade, Transportation, and Utilities",60358,4505,590783000
2010,2,"Alaska","Trade, Transportation, and Utilities",58317,4462,557607000
2011,2,"Alaska","Trade, Transportation, and Utilities",56542,4448,592905000
2012,2,"Alaska","Trade, Transportation, and Utilities",57332,4441,619372000
2013,2,"Alaska","Trade, Transportation, and Utilities",60140,4439,687143000
2014,2,"Alaska","Trade, Transportation, and Utilities",60524,4482,685908000
2015,2,"Alaska","Trade, Transportation, and Utilities",64592,4487,749880000
2016,2,"Alaska","Trade, Transportation, and Utilities",64525,4469,761852000
2017,2,"Alaska","Trade, Transportation, and Utilities",61641,4498,762920000
2018,2,"Alaska","Trade, Transportation, and Utilities",63263,4463,792726000
2019,2,"Alaska","Trade, Transportation, and Utilities",62312,4453,803365000
2020,2,"Alaska","Trade, Transportation, and Utilities",62598,4329,841789000
2021,2,"Alaska","Trade, Transportation, and Utilities",61511,4398,827882000
2001,2,"Alaska","Unclassified",263,356,958000
2002,2,"Alaska","Unclassified",50,94,131000
2003,2,"Alaska","Unclassified",57,67,269000
2004,2,"Alaska","Unclassified",93,77,495000
2005,2,"Alaska","Unclassified",1,52,1000
2006,2,"Alaska","Unclassified",29,66,104000
2007,2,"Alaska","Unclassified",1,23,0
2008,2,"Alaska","Unclassified",21,35,82000
2009,2,"Alaska","Unclassified",0,26,0
2010,2,"Alaska","Unclassified",11,38,215000
2011,2,"Alaska","Unclassified",1,24,39000
2012,2,"Alaska","Unclassified",0,16,0
2013,2,"Alaska","Unclassified",5,30,0
2014,2,"Alaska","Unclassified",2,42,102000
2015,2,"Alaska","Unclassified",58,44,194000
2016,2,"Alaska","Unclassified",42,40,173000
2017,2,"Alaska","Unclassified",11,13,29000
2018,2,"Alaska","Unclassified",31,36,85000
2019,2,"Alaska","Unclassified",21,38,296000
2020,2,"Alaska","Unclassified",21,34,409000
2021,2,"Alaska","Unclassified",8,18,77000
2001,4,"Arizona","Agriculture and Mining",6330,439,63126000
2002,4,"Arizona","Agriculture and Mining",6319,428,58095000
2003,4,"Arizona","Agriculture and Mining",5930,415,55658000
2004,4,"Arizona","Agriculture and Mining",5314,423,47839000
2005,4,"Arizona","Agriculture and Mining",4827,433,47687000
2006,4,"Arizona","Agriculture and Mining",4544,448,51608000
2007,4,"Arizona","Agriculture and Mining",5709,447,73417000
2008,4,"Arizona","Agriculture and Mining",6665,441,101066000
2009,4,"Arizona","Agriculture and Mining",4587,402,88862000
2010,4,"Arizona","Agriculture and Mining",4881,431,94391000
2011,4,"Arizona","Agriculture and Mining",5710,443,87906000
2012,4,"Arizona","Agriculture and Mining",5411,438,99625000
2013,4,"Arizona","Agriculture and Mining",5122,437,89232000
2014,4,"Arizona","Agriculture and Mining",8045,428,147307000
2015,4,"Arizona","Agriculture and Mining",10025,440,182464000
2016,4,"Arizona","Agriculture and Mining",9033,435,145821000
2017,4,"Arizona","Agriculture and Mining",9158,424,146475000
2018,4,"Arizona","Agriculture and Mining",9398,425,162326000
2019,4,"Arizona","Agriculture and Mining",12641,414,226225000
2020,4,"Arizona","Agriculture and Mining",13189,426,219191000
2021,4,"Arizona","Agriculture and Mining",13667,436,271507000
2001,4,"Arizona","Construction",168123,12659,1269947000
