"naics","employment_march","establishments","payroll_quarter1","year"
"113110",3203,441,29770000,2001
"113210",2049,256,17223000,2001
"113310",72732,12098,455764000,2001
"114111",4586,1302,40631000,2001
"114112",NA,936,NA,2001
"114119",NA,14,NA,2001
"114210",2604,384,19746000,2001
"115111",2997,379,17479000,2001
"115112",12036,2435,67881000,2001
"115113",3940,375,16347000,2001
"115114",29019,1113,155172000,2001
"115115",6643,566,22992000,2001
"115116",4980,596,30150000,2001
"115210",20750,3999,106170000,2001
"115310",15173,1553,97609000,2001
"211111",78394,7254,1552433000,2001
"211112",9586,437,188530000,2001
"212111",31439,694,399034000,2001
"212112",38848,514,513774000,2001
"212113",712,58,6819000,2001
"212210",7433,42,94330000,2001
"212221",10717,271,152515000,2001
"212222",505,17,6473000,2001
"212231",1994,29,22455000,2001
"212234",8685,55,107915000,2001
"212291",426,26,5833000,2001
"212299",3050,45,44511000,2001
"212311",2817,315,17470000,2001
"212312",26712,1363,245639000,2001
"212313",7138,295,77777000,2001
"212319",8504,483,75899000,2001
"212321",27968,2464,244559000,2001
"212322",2962,148,27782000,2001
"212324",3257,39,40437000,2001
"212325",3516,128,32974000,2001
"212391",4972,28,69641000,2001
"212392",2071,15,25208000,2001
"212393",2083,46,23497000,2001
"212399",4926,248,41558000,2001
"213111",58528,1654,625348000,2001
"213112",127801,6980,1498111000,2001
"213113",5568,326,55156000,2001
"213114",2315,198,30532000,2001
"213115",2638,147,30797000,2001
"221111",11650,462,267679000,2001
"221112",80674,1301,1616267000,2001
"221113",33064,72,836984000,2001
"221119",13866,373,254965000,2001
"221121",6233,161,99974000,2001
"221122",370501,6838,6779413000,2001
"221210",95348,2831,1854502000,2001
"221310",35206,4832,326914000,2001
"221320",6312,748,45160000,2001
"221330",1630,84,21229000,2001
"233110",88993,13358,954073000,2001
"233210",661414,146670,5183300000,2001
"233220",73972,8767,642144000,2001
"233310",114021,5887,1057353000,2001
"233320",678573,41124,7094121000,2001
"234110",275191,11314,2396282000,2001
"234120",35828,819,395131000,2001
"234910",193347,9090,1746970000,2001
"234920",114999,4065,1028697000,2001
"234930",105367,647,1061292000,2001
"234990",176475,14541,1599195000,2001
"235110",898440,89550,8121438000,2001
"235210",220433,40364,1335693000,2001
"235310",831895,65860,8064094000,2001
"235410",178820,23664,1158875000,2001
"235420",300984,20337,2311792000,2001
"235430",49717,6884,369656000,2001
"235510",262936,44391,1677572000,2001
"235520",74622,13050,569534000,2001
"235610",247408,30247,1670263000,2001
"235710",295285,30743,2007618000,2001
"235810",22296,3722,167418000,2001
"235910",81995,4782,747768000,2001
"235920",47125,5531,401852000,2001
"235930",144439,25409,1050990000,2001
"235940",27056,1923,211048000,2001
"235950",72616,4600,853936000,2001
"235990",217747,31559,1532466000,2001
"311111",15042,214,146339000,2001
"311119",34193,1565,290850000,2001
"311211",13279,395,115816000,2001
"311212",3831,65,28189000,2001
"311213",1096,32,13169000,2001
"311221",9394,61,118174000,2001
"311222",6367,109,63234000,2001
"311223",2069,50,17684000,2001
"311225",8735,140,80876000,2001
"311230",12872,64,166163000,2001
"311311",NA,41,NA,2001
"311312",NA,17,NA,2001
"311313",6534,36,64315000,2001
"311320",9908,167,90445000,2001
"311330",36005,873,246241000,2001
"311340",26409,616,218706000,2001
"311411",38941,257,246178000,2001
"311412",47297,408,330619000,2001
"311421",50637,810,417073000,2001
"311422",16707,148,132876000,2001
"311423",11813,181,89897000,2001
"311511",57087,578,549443000,2001
"311512",1748,36,15419000,2001
"311513",38559,536,312312000,2001
"311514",14899,215,158530000,2001
"311520",19506,409,155904000,2001
"311611",155827,2111,974563000,2001
"311612",96738,1247,688274000,2001
"311613",8304,228,69758000,2001
"311615",235308,488,1192394000,2001
"311711",4281,170,27383000,2001
"311712",35574,653,206681000,2001
"311811",54001,6445,192867000,2001
"311812",159480,3003,1246587000,2001
"311813",15945,231,115498000,2001
"311821",35736,395,309498000,2001
"311822",15406,242,128114000,2001
"311823",5116,233,42878000,2001
"311830",12333,268,73125000,2001
"311911",9980,159,73821000,2001
"311919",28374,389,200014000,2001
"311920",12130,291,123838000,2001
"311930",5894,180,64762000,2001
"311941",13819,353,121787000,2001
"311942",12759,292,138287000,2001
"311991",24368,502,157681000,2001
"311999",37785,882,279923000,2001
"312111",69909,577,622261000,2001
"312112",5855,218,54294000,2001
"312113",5055,522,26984000,2001
"312120",32931,526,399762000,2001
"312130",26060,1125,240236000,2001
"312140",5817,65,71276000,2001
"312210",3597,32,27549000,2001
"312221",14973,16,268123000,2001
"312229",6667,131,72524000,2001
"313111",44174,395,274405000,2001
"313112",18909,134,121488000,2001
"313113",3238,76,17597000,2001
"313210",105590,880,736997000,2001
"313221",15246,274,97014000,2001
"313222",2220,185,12020000,2001
"313230",19925,242,190496000,2001
"313241",13662,211,92361000,2001
"313249",13798,179,98529000,2001
"313311",39058,1226,299668000,2001
"313312",22408,398,144162000,2001
"313320",10262,252,96864000,2001
"314110",45188,437,327068000,2001
"314121",22617,1753,125167000,2001
"314129",43648,738,245191000,2001
"314911",9954,365,54359000,2001
"314912",20303,1557,125823000,2001
"314991",6329,189,42734000,2001
"314992",4958,22,42297000,2001
"314999",49025,1905,299439000,2001
"315111",12712,124,64779000,2001
"315119",29839,404,158433000,2001
"315191",24192,549,132250000,2001
"315192",3736,36,21438000,2001
"315211",32761,947,122968000,2001
"315212",100564,6616,388325000,2001
"315221",2859,40,18065000,2001
"315222",12506,186,74029000,2001
"315223",16293,273,105583000,2001
"315224",22083,184,120179000,2001
"315225",16386,181,70872000,2001
"315228",14012,357,78639000,2001
"315231",12320,213,73249000,2001
"315232",15629,574,102926000,2001
"315233",18875,745,152532000,2001
"315234",9807,362,87172000,2001
"315239",37284,1544,232537000,2001
"315291",4553,47,26934000,2001
"315292",2650,259,14660000,2001
"315299",10392,387,55040000,2001
"315991",11304,350,55099000,2001
"315992",4108,122,23715000,2001
"315993",3320,93,25098000,2001
"315999",23557,1559,134090000,2001
"316110",11660,358,92037000,2001
"316211",6642,54,45905000,2001
"316212",1282,17,11499000,2001
"316213",12116,130,71215000,2001
"316214",4996,102,27503000,2001
"316219",1976,78,7136000,2001
"316991",7550,268,46341000,2001
"316992",3028,112,17326000,2001
"316993",3332,167,18100000,2001
"316999",7985,477,44347000,2001
"321113",110118,4127,773233000,2001
"321114",12070,467,87263000,2001
"321211",23446,356,149844000,2001
"321212",24894,147,211056000,2001
"321213",889,29,7698000,2001
"321214",42792,1103,308464000,2001
"321219",24424,309,215773000,2001
"321911",70739,1491,510942000,2001
"321912",37905,1249,230770000,2001
"321918",42583,1891,283620000,2001
"321920",51239,2915,272329000,2001
"321991",50338,397,308207000,2001
"321992",25570,741,174236000,2001
"321999",40500,2067,243509000,2001
"322110",9813,51,138334000,2001
"322121",97966,276,1334622000,2001
"322122",10569,32,174930000,2001
"322130",51685,247,711858000,2001
"322211",126976,1737,1202533000,2001
"322212",46384,535,436845000,2001
"322213",6170,131,40813000,2001
"322214",10741,284,85908000,2001
"322215",13745,79,105064000,2001
"322221",6603,114,59075000,2001
"322222",38966,576,399193000,2001
"322223",3002,46,25818000,2001
"322224",13539,127,106156000,2001
"322225",4797,45,58355000,2001
"322226",3239,56,29687000,2001
"322231",11663,316,89355000,2001
"322232",24305,257,213864000,2001
"322233",7282,141,55496000,2001
"322291",23986,129,246129000,2001
"322299",21820,560,172466000,2001
"323110",387500,15662,3626440000,2001
"323111",21813,415,198422000,2001
"323112",31177,930,290519000,2001
"323113",69166,4061,469287000,2001
"323114",54989,7458,379936000,2001
"323115",6123,589,53267000,2001
"323116",42593,914,373213000,2001
"323117",47894,667,408934000,2001
"323118",14174,239,106829000,2001
"323119",38426,3237,314476000,2001
"323121",30137,1197,196460000,2001
"323122",40528,2526,457845000,2001
"324110",63165,302,1127479000,2001
"324121",14013,1272,122464000,2001
"324122",13235,248,142710000,2001
"324191",10084,347,118320000,2001
"324199",3073,84,36142000,2001
"325110",9961,53,184212000,2001
"325120",11212,586,154198000,2001
"325131",7981,76,116314000,2001
"325132",7502,126,93709000,2001
"325181",4517,43,74945000,2001
"325182",1799,23,25742000,2001
"325188",51289,661,754153000,2001
"325191",2530,60,22627000,2001
"325192",6313,57,102119000,2001
"325193",1837,52,18076000,2001
"325199",78308,646,1216132000,2001
"325211",61065,621,916831000,2001
"325212",11500,162,163073000,2001
"325221",3043,17,30896000,2001
"325222",32255,106,345377000,2001
"325311",5320,159,66560000,2001
"325312",7184,64,83361000,2001
"325314",8825,481,75383000,2001
"325320",14319,246,181891000,2001
"325411",27479,346,415745000,2001
"325412",139828,911,2167237000,2001
"325413",40594,210,609141000,2001
"325414",25602,358,403879000,2001
"325510",50727,1463,554776000,2001
"325520",22208,635,244384000,2001
"325611",27332,754,305538000,2001
"325612",23020,679,237818000,2001
"325613",8005,191,117206000,2001
"325620",60705,759,625031000,2001
"325910",12886,505,147545000,2001
"325920",7325,100,71894000,2001
"325991",25557,715,252918000,2001
"325992",33726,344,488345000,2001
"325998",38007,1152,442148000,2001
"326111",39680,491,328297000,2001
"326112",15399,162,159647000,2001
"326113",53385,787,532722000,2001
"326121",26482,683,224380000,2001
"326122",22601,442,179602000,2001
"326130",16695,417,162943000,2001
"326140",31503,566,234562000,2001
"326150",35645,610,266627000,2001
"326160",35655,459,289618000,2001
"326191",20732,535,138467000,2001
"326192",5060,41,60425000,2001
"326199",501009,8174,3791856000,2001
"326211",63931,161,724112000,2001
"326212",8550,677,58717000,2001
"326220",23553,228,195475000,2001
"326291",55000,666,443741000,2001
"326299",47623,882,387648000,2001
"327111",8708,54,71589000,2001
"327112",18858,902,127026000,2001
"327113",9378,136,88701000,2001
"327121",14172,216,109974000,2001
"327122",8215,200,61968000,2001
"327123",1840,54,12554000,2001
"327124",5048,141,46087000,2001
"327125",7320,130,75576000,2001
"327211",11628,80,144059000,2001
"327212",37843,538,376678000,2001
"327213",15958,67,197884000,2001
"327215",64542,1663,534137000,2001
"327310",17227,260,216494000,2001
"327320",101483,5398,801569000,2001
"327331",21234,940,175430000,2001
"327332",14928,422,124059000,2001
"327390",65742,2366,530750000,2001
"327410",4533,82,48504000,2001
