"state_fips","naics","employment_march","establishments","payroll_quarter1","year"
1,"551",20283,512,297441000,2001
1,"561",119430,3852,513263000,2001
1,"562",4308,237,33618000,2001
1,"611",21126,758,95820000,2001
1,"621",68420,6190,622790000,2001
1,"622",82228,128,619918000,2001
1,"623",34415,703,150254000,2001
1,"624",23067,1868,77108000,2001
1,"711",2991,184,11502000,2001
1,"712",757,57,3255000,2001
1,"713",10417,762,31597000,2001
1,"721",13106,758,40160000,2001
1,"722",114670,6112,268978000,2001
1,"811",19837,3480,121891000,2001
1,"812",16404,2419,64932000,2001
1,"813",48104,5540,157076000,2001
2,"113",NA,51,NA,2001
2,"114",NA,253,NA,2001
2,"115",NA,13,NA,2001
2,"211",2771,22,89177000,2001
2,"212",1256,46,20345000,2001
2,"213",5671,62,108938000,2001
2,"221",1925,95,29285000,2001
2,"233",4127,729,37787000,2001
2,"234",4632,255,73701000,2001
2,"235",6424,1332,59099000,2001
2,"311",7802,139,46581000,2001
2,"312",NA,9,NA,2001
2,"313",NA,3,NA,2001
2,"314",NA,13,NA,2001
2,"315",NA,12,NA,2001
2,"316",NA,4,NA,2001
2,"321",NA,39,NA,2001
2,"322",NA,3,NA,2001
2,"323",405,54,3339000,2001
2,"324",492,10,10540000,2001
2,"325",NA,6,NA,2001
2,"326",93,12,849000,2001
2,"327",189,37,1213000,2001
2,"331",NA,2,NA,2001
2,"332",454,51,4027000,2001
2,"333",NA,10,NA,2001
2,"334",NA,4,NA,2001
2,"335",NA,3,NA,2001
2,"336",NA,21,NA,2001
2,"337",NA,25,NA,2001
2,"339",228,46,1620000,2001
2,"421",3599,389,37293000,2001
2,"422",3549,327,29657000,2001
2,"441",4386,290,36299000,2001
2,"442",742,116,4817000,2001
2,"443",741,82,7238000,2001
2,"444",2844,224,22022000,2001
2,"445",7476,408,36757000,2001
2,"446",782,106,5340000,2001
2,"447",1694,218,7685000,2001
2,"448",2355,296,9843000,2001
2,"451",1595,244,6014000,2001
2,"452",7560,125,35291000,2001
2,"453",2115,443,8352000,2001
2,"454",1111,144,8414000,2001
2,"481",6367,221,66832000,2001
2,"483",940,49,10089000,2001
2,"484",3204,228,36322000,2001
2,"485",NA,82,NA,2001
2,"486",NA,8,NA,2001
2,"487",423,137,2977000,2001
2,"488",3181,169,23222000,2001
2,"492",NA,76,NA,2001
2,"493",NA,12,NA,2001
2,"511",NA,62,NA,2001
2,"512",NA,32,NA,2001
2,"513",4311,253,53603000,2001
2,"514",NA,49,NA,2001
2,"522",4407,289,38770000,2001
2,"523",NA,134,NA,2001
2,"524",NA,264,NA,2001
2,"525",NA,5,NA,2001
2,"531",NA,525,NA,2001
2,"532",NA,217,NA,2001
2,"533",NA,2,NA,2001
2,"541",11404,1651,127417000,2001
2,"551",2768,96,59339000,2001
2,"561",10430,889,73366000,2001
2,"562",828,76,9601000,2001
2,"611",2663,217,13787000,2001
2,"621",8270,1127,82814000,2001
2,"622",13584,30,157520000,2001
2,"623",2732,147,17232000,2001
2,"624",8016,407,45879000,2001
2,"711",NA,66,NA,2001
2,"712",NA,29,NA,2001
2,"713",NA,370,NA,2001
2,"721",5201,429,22884000,2001
2,"722",16725,1364,61230000,2001
2,"811",2822,502,20175000,2001
2,"812",2053,348,8834000,2001
2,"813",6476,871,38895000,2001
4,"113",NA,33,NA,2001
4,"114",NA,6,NA,2001
4,"115",1647,196,11385000,2001
4,"211",NA,15,NA,2001
4,"212",9539,146,108765000,2001
4,"213",NA,43,NA,2001
4,"221",10075,266,175384000,2001
4,"233",35229,3795,317358000,2001
4,"234",18923,591,173462000,2001
4,"235",114264,8273,782717000,2001
4,"311",8767,247,64658000,2001
4,"312",2226,44,16827000,2001
4,"313",761,24,4719000,2001
4,"314",1027,77,5374000,2001
4,"315",830,103,4102000,2001
4,"316",124,27,539000,2001
4,"321",8708,218,54751000,2001
4,"322",2771,46,26400000,2001
4,"323",8159,614,65199000,2001
4,"324",293,24,2803000,2001
4,"325",6251,176,53099000,2001
4,"326",8946,232,69587000,2001
4,"327",8277,274,67834000,2001
4,"331",4978,108,41894000,2001
4,"332",22806,863,188714000,2001
4,"333",9114,306,92658000,2001
4,"334",46478,344,681853000,2001
4,"335",3993,84,37753000,2001
4,"336",31745,207,468520000,2001
4,"337",8704,393,52215000,2001
4,"339",9259,526,83669000,2001
4,"421",54005,4476,632367000,2001
4,"422",33970,2144,352045000,2001
4,"441",40069,1917,350759000,2001
4,"442",10807,1215,67731000,2001
4,"443",7594,754,45476000,2001
4,"444",22904,1317,161298000,2001
4,"445",50497,1826,250941000,2001
4,"446",15574,1155,82052000,2001
4,"447",17070,1769,64075000,2001
4,"448",20936,2419,79809000,2001
4,"451",11063,1108,41796000,2001
4,"452",42762,522,181235000,2001
4,"453",17847,2482,69839000,2001
4,"454",8689,698,71382000,2001
4,"481",17727,94,186349000,2001
4,"483",NA,3,NA,2001
4,"484",30975,1404,211514000,2001
4,"485",5638,180,29198000,2001
4,"486",273,43,8122000,2001
4,"487",NA,37,NA,2001
4,"488",6762,512,55160000,2001
4,"492",10475,251,80645000,2001
4,"493",964,81,6693000,2001
4,"511",14493,545,169961000,2001
4,"512",3543,263,12645000,2001
4,"513",28564,1012,345025000,2001
4,"514",11383,366,131490000,2001
4,"521",NA,2,NA,2001
4,"522",65506,3041,618949000,2001
4,"523",11855,1221,220198000,2001
4,"524",34985,3099,419215000,2001
4,"525",NA,59,NA,2001
4,"531",27411,5034,210276000,2001
4,"532",13863,1177,88657000,2001
4,"533",351,33,3475000,2001
4,"541",117366,12785,1105360000,2001
4,"551",42042,711,704105000,2001
4,"561",185968,6894,999425000,2001
4,"562",3780,247,31635000,2001
4,"611",27103,1351,158519000,2001
4,"621",73945,8313,725197000,2001
4,"622",64428,99,538044000,2001
4,"623",31469,1034,160509000,2001
4,"624",30463,1779,119605000,2001
4,"711",6390,435,91050000,2001
4,"712",1679,98,8287000,2001
4,"713",26947,923,110836000,2001
4,"721",44579,1254,207242000,2001
4,"722",161114,8175,437700000,2001
4,"811",27243,4075,172289000,2001
4,"812",20939,2759,91620000,2001
4,"813",32621,3200,147458000,2001
5,"113",NA,567,NA,2001
5,"114",NA,10,NA,2001
5,"115",2874,325,13688000,2001
5,"211",629,89,6546000,2001
5,"212",1295,91,10011000,2001
5,"213",1522,90,12080000,2001
5,"221",7837,416,114983000,2001
5,"233",11666,1601,73159000,2001
5,"234",7836,555,51392000,2001
5,"235",24496,3455,146245000,2001
5,"311",55201,297,292501000,2001
5,"312",806,17,6493000,2001
5,"313",212,15,2866000,2001
5,"314",2161,55,15131000,2001
5,"315",4601,72,18251000,2001
5,"316",2627,27,1.4e+07,2001
5,"321",15119,392,97729000,2001
5,"322",12358,79,138329000,2001
5,"323",4895,267,35549000,2001
5,"324",1029,31,11610000,2001
5,"325",6929,103,69286000,2001
5,"326",15437,164,119952000,2001
5,"327",4523,198,32057000,2001
5,"331",8603,65,92632000,2001
5,"332",21077,490,161562000,2001
5,"333",18349,257,130936000,2001
5,"334",5022,57,34080000,2001
5,"335",15187,72,118874000,2001
5,"336",16700,136,123577000,2001
5,"337",9788,213,57547000,2001
5,"339",8047,219,50987000,2001
5,"421",23520,2251,192636000,2001
5,"422",20012,1228,158672000,2001
5,"441",17553,1754,120441000,2001
5,"442",3679,648,18498000,2001
5,"443",2662,440,13060000,2001
5,"444",11854,1167,66023000,2001
5,"445",23556,1514,73484000,2001
5,"446",6599,815,32441000,2001
5,"447",13077,1611,38199000,2001
5,"448",9407,1267,29935000,2001
5,"451",4291,588,12950000,2001
5,"452",33324,688,125946000,2001
5,"453",7036,1369,23909000,2001
5,"454",3475,389,19259000,2001
5,"481",1725,54,15614000,2001
5,"483",NA,4,NA,2001
5,"484",28960,1761,253101000,2001
5,"485",NA,58,NA,2001
5,"486",NA,21,NA,2001
5,"487",NA,7,NA,2001
5,"488",3502,302,24690000,2001
5,"492",6287,100,46054000,2001
5,"493",1615,106,9729000,2001
5,"511",7279,204,45060000,2001
5,"512",1231,126,3826000,2001
5,"513",15164,526,204203000,2001
5,"514",6054,105,86999000,2001
5,"521",NA,1,NA,2001
5,"522",20293,1659,155467000,2001
5,"523",3056,458,87297000,2001
5,"524",10705,1589,97701000,2001
5,"525",NA,21,NA,2001
5,"531",7230,1669,36034000,2001
5,"532",NA,736,NA,2001
5,"533",NA,9,NA,2001
5,"541",31999,4872,248148000,2001
5,"551",20893,538,348388000,2001
5,"561",60700,2120,254010000,2001
5,"562",2307,154,17143000,2001
5,"611",11419,481,43119000,2001
5,"621",35933,4085,318690000,2001
5,"622",53336,103,389152000,2001
5,"623",24925,509,99007000,2001
5,"624",19756,1377,63584000,2001
5,"711",1885,132,6269000,2001
5,"712",271,46,942000,2001
5,"713",5915,616,17027000,2001
5,"721",9942,687,27329000,2001
5,"722",66990,3777,147408000,2001
5,"811",10253,2127,53891000,2001
5,"812",8687,1358,34173000,2001
5,"813",22822,3250,73107000,2001
6,"113",3322,481,20603000,2001
6,"114",737,206,5172000,2001
6,"115",22518,1708,117894000,2001
6,"211",4812,225,102164000,2001
6,"212",8108,382,97682000,2001
6,"213",10148,342,107806000,2001
6,"221",46250,1058,982378000,2001
6,"233",191894,21594,1990896000,2001
6,"234",74080,3325,844328000,2001
6,"235",529866,42575,4519209000,2001
6,"311",149673,3619,1139436000,2001
6,"312",32481,850,329990000,2001
6,"313",12924,533,81073000,2001
6,"314",19937,944,126902000,2001
6,"315",112332,5298,562028000,2001
6,"316",5949,256,32995000,2001
6,"321",40652,1294,287006000,2001
6,"322",33417,567,331821000,2001
6,"323",80816,4921,735493000,2001
6,"324",12363,225,218691000,2001
6,"325",66618,1573,845787000,2001
6,"326",89294,1916,704539000,2001
6,"327",48367,1563,449245000,2001
6,"331",24989,663,219398000,2001
6,"332",189382,7882,1761485000,2001
6,"333",101784,2903,1319030000,2001
6,"334",336822,4029,6351653000,2001
6,"335",47895,1006,542431000,2001
6,"336",153221,1633,2009234000,2001
6,"337",71678,2800,485994000,2001
6,"339",110160,4547,1107112000,2001
6,"421",508447,36182,7481632000,2001
6,"422",321470,21793,3253574000,2001
6,"441",201845,11459,1895222000,2001
6,"442",63802,7185,410386000,2001
6,"443",64549,5910,552151000,2001
6,"444",119932,7521,832911000,2001
6,"445",301443,16768,1660514000,2001
6,"446",102636,8493,615414000,2001
6,"447",66700,8366,247625000,2001
6,"448",170943,16907,687342000,2001
6,"451",81557,7286,315910000,2001
6,"452",212775,2448,933669000,2001
6,"453",94166,13128,411042000,2001
6,"454",51247,3934,529108000,2001
6,"481",76718,611,950644000,2001
6,"483",5782,122,71900000,2001
6,"484",119509,8776,934145000,2001
6,"485",37477,1339,199477000,2001
6,"486",8149,193,122690000,2001
6,"487",3024,280,14327000,2001
6,"488",72254,4192,744380000,2001
6,"492",81551,1469,583196000,2001
6,"493",16731,794,138329000,2001
6,"511",171832,4344,4120921000,2001
6,"512",104269,6924,1638770000,2001
6,"513",185013,5891,3061340000,2001
6,"514",104162,3532,1860389000,2001
6,"521",NA,6,NA,2001
6,"522",308325,17740,4538153000,2001
6,"523",105108,9252,4883587000,2001
6,"524",228656,15770,3294891000,2001
6,"525",NA,366,NA,2001
6,"531",194842,32398,1763958000,2001
6,"532",90297,7199,677554000,2001
6,"533",3784,254,85277000,2001
6,"541",1177669,96210,16491119000,2001
6,"551",297552,4876,7377887000,2001
6,"561",1074734,41186,7133266000,2001
6,"562",34161,1313,333559000,2001
6,"611",278019,9367,1861386000,2001
6,"621",515848,61217,4732844000,2001
6,"622",443572,590,4345203000,2001
6,"623",212541,7634,1102021000,2001
6,"624",202666,14415,969748000,2001
6,"711",67111,9414,1155556000,2001
6,"712",12295,531,85789000,2001
6,"713",181686,5514,821553000,2001
6,"721",191628,6404,958168000,2001
6,"722",946161,57933,2956097000,2001
6,"811",171233,26334,1182925000,2001
6,"812",145799,20264,655217000,2001
6,"813",249824,21990,1294865000,2001
8,"113",NA,60,NA,2001
8,"114",NA,17,NA,2001
8,"115",951,213,5097000,2001
8,"211",4253,378,93547000,2001
8,"212",4169,186,49768000,2001
8,"213",4362,376,50568000,2001
8,"221",7204,366,112500000,2001
8,"233",36607,5260,379828000,2001
8,"234",26122,866,276217000,2001
8,"235",98802,11371,796666000,2001
8,"311",16801,443,117274000,2001
8,"312",6844,60,106811000,2001
8,"313",501,31,3366000,2001
8,"314",2139,122,18834000,2001
8,"315",1191,160,6827000,2001
8,"316",1240,33,12032000,2001
8,"321",4363,246,32487000,2001
8,"322",3313,51,33127000,2001
8,"323",11382,737,96786000,2001
8,"324",800,23,9956000,2001
8,"325",6741,160,82125000,2001
8,"326",5269,214,47159000,2001
8,"327",9910,320,100321000,2001
8,"331",2352,58,23362000,2001
8,"332",16500,806,156129000,2001
8,"333",11029,325,112878000,2001
8,"334",34011,397,466408000,2001
8,"335",2729,96,24218000,2001
8,"336",10649,134,132843000,2001
8,"337",5935,354,42748000,2001
8,"339",8665,679,82074000,2001
8,"421",65778,5044,949093000,2001
8,"422",33571,2308,346599000,2001
8,"441",33027,1972,289966000,2001
8,"442",12067,1304,82007000,2001
8,"443",7977,877,52923000,2001
8,"444",25130,1655,183340000,2001
8,"445",50893,2334,272943000,2001
8,"446",11879,1169,55907000,2001
8,"447",15317,1750,56187000,2001
8,"448",21295,2473,84810000,2001
8,"451",16813,1577,60412000,2001
8,"452",39308,426,170528000,2001
8,"453",17586,2680,71471000,2001
8,"454",9244,829,65313000,2001
8,"481",18249,100,226741000,2001
8,"483",NA,4,NA,2001
8,"484",16365,1733,125328000,2001
8,"485",4072,163,21925000,2001
8,"486",591,47,16208000,2001
8,"487",NA,30,NA,2001
8,"488",6593,449,41591000,2001
8,"492",11252,263,91725000,2001
8,"493",2057,90,12111000,2001
8,"511",28954,887,515491000,2001
8,"512",4395,404,23508000,2001
8,"513",63611,1644,1102582000,2001
8,"514",17543,555,274551000,2001
8,"521",NA,1,NA,2001
8,"522",45816,3552,508722000,2001
8,"523",17272,1753,492462000,2001
8,"524",41685,3290,539599000,2001
8,"525",NA,34,NA,2001
8,"531",31326,6643,239428000,2001
8,"532",13733,1278,87171000,2001
8,"533",746,55,14446000,2001
8,"541",149387,18201,2001670000,2001
8,"551",39212,863,950262000,2001
8,"561",177430,7244,1157936000,2001
8,"562",8278,335,98646000,2001
8,"611",29933,1571,164040000,2001
8,"621",69757,8072,660241000,2001
8,"622",66234,94,574696000,2001
8,"623",30005,748,160399000,2001
8,"624",30465,2102,125831000,2001
8,"711",5844,609,98950000,2001
8,"712",1723,137,9745000,2001
8,"713",32941,1284,152791000,2001
8,"721",40503,1525,189917000,2001
8,"722",165810,8786,472328000,2001
8,"811",24571,4164,248445000,2001
8,"812",21914,3248,88290000,2001
8,"813",44988,4545,240635000,2001
9,"113",NA,20,NA,2001
9,"114",NA,18,NA,2001
9,"115",447,71,2348000,2001
9,"211",NA,6,NA,2001
9,"212",NA,58,NA,2001
9,"213",NA,5,NA,2001
9,"221",10928,154,244793000,2001
9,"233",14057,2561,155514000,2001
9,"234",12602,439,125024000,2001
9,"235",40745,6155,401179000,2001
9,"311",8191,285,69670000,2001
9,"312",NA,26,NA,2001
9,"313",2627,50,26271000,2001
9,"314",1631,90,11441000,2001
9,"315",1445,83,18093000,2001
9,"316",NA,7,NA,2001
9,"321",1687,132,14387000,2001
9,"322",5819,89,61529000,2001
9,"323",11945,568,129261000,2001
9,"324",507,44,4265000,2001
9,"325",18641,159,325796000,2001
9,"326",10087,239,90288000,2001
9,"327",2985,142,30150000,2001
9,"331",5001,108,56415000,2001
9,"332",39721,1398,407091000,2001
9,"333",26804,583,329145000,2001
9,"334",20963,356,250943000,2001
9,"335",13146,197,144862000,2001
9,"336",44886,197,681332000,2001
9,"337",3287,239,27229000,2001
9,"339",12958,421,132512000,2001
9,"421",46603,3317,686761000,2001
9,"422",32067,1662,450420000,2001
9,"441",21867,1353,199629000,2001
9,"442",7418,891,45892000,2001
9,"443",4864,604,35789000,2001
9,"444",16509,1182,124410000,2001
9,"445",38329,2189,199597000,2001
9,"446",14969,1019,74909000,2001
9,"447",7892,1255,35451000,2001
9,"448",20406,1997,80506000,2001
9,"451",8711,923,34051000,2001
9,"452",22696,352,93762000,2001
9,"453",10505,1514,47268000,2001
9,"454",13308,774,148107000,2001
9,"481",2596,47,24556000,2001
9,"483",1027,35,15500000,2001
9,"484",7475,674,64562000,2001
9,"485",11554,327,61231000,2001
9,"486",NA,12,NA,2001
9,"487",NA,19,NA,2001
9,"488",3031,294,41849000,2001
9,"492",7841,118,62141000,2001
9,"493",928,46,10081000,2001
9,"511",16042,508,239377000,2001
9,"512",2672,238,22669000,2001
9,"513",23106,600,390106000,2001
9,"514",10787,384,177749000,2001
9,"521",NA,1,NA,2001
9,"522",37989,2132,640610000,2001
9,"523",15380,1432,1623421000,2001
9,"524",82200,2001,1694017000,2001
9,"525",NA,31,NA,2001
9,"531",15740,2549,156123000,2001
9,"532",7213,648,59660000,2001
9,"533",241,36,2126000,2001
9,"541",95724,10174,1424095000,2001
9,"551",43470,772,1324112000,2001
9,"561",99537,5275,639941000,2001
9,"562",4585,323,41989000,2001
9,"611",51644,1048,402932000,2001
9,"621",70411,6363,674605000,2001
9,"622",60489,60,624216000,2001
9,"623",56349,939,354759000,2001
9,"624",33436,1967,147787000,2001
9,"711",4888,401,56067000,2001
9,"712",2236,125,12387000,2001
9,"713",31835,1015,166428000,2001
9,"721",10640,396,53783000,2001
9,"722",84738,6359,271331000,2001
9,"811",15419,2809,114962000,2001
9,"812",19286,3213,91209000,2001
9,"813",28930,3422,157470000,2001
10,"113",NA,15,NA,2001
10,"114",NA,6,NA,2001
10,"115",NA,22,NA,2001
10,"211",NA,12,NA,2001
10,"212",NA,10,NA,2001
10,"213",NA,1,NA,2001
10,"221",NA,40,NA,2001
10,"233",5480,738,46661000,2001
10,"234",2519,91,23231000,2001
10,"235",13264,1545,112940000,2001
10,"311",8718,68,48229000,2001
10,"312",NA,5,NA,2001
10,"313",205,5,1513000,2001
10,"314",290,13,1385000,2001
10,"315",NA,12,NA,2001
10,"316",NA,3,NA,2001
10,"321",689,22,5195000,2001
10,"322",1717,7,16172000,2001
10,"323",1639,81,20595000,2001
10,"324",865,18,14042000,2001
10,"325",7567,67,108487000,2001
10,"326",3409,51,32097000,2001
10,"327",908,43,7459000,2001
10,"331",891,13,8860000,2001
10,"332",3134,97,27500000,2001
10,"333",NA,31,NA,2001
10,"334",1743,27,24856000,2001
10,"335",1421,14,14520000,2001
10,"336",5487,20,60920000,2001
10,"337",636,44,4656000,2001
10,"339",1151,53,11064000,2001
10,"421",6952,621,76395000,2001
10,"422",17154,368,338922000,2001
10,"441",6748,398,52708000,2001
10,"442",3215,244,19550000,2001
10,"443",1641,156,11182000,2001
10,"444",4376,314,29075000,2001
10,"445",9625,623,42057000,2001
10,"446",3400,260,15535000,2001
10,"447",2250,312,8557000,2001
10,"448",4575,523,15379000,2001
10,"451",2072,210,6969000,2001
10,"452",9602,141,36496000,2001
10,"453",3219,457,12995000,2001
10,"454",1428,140,10872000,2001
10,"481",NA,21,NA,2001
10,"483",NA,11,NA,2001
10,"484",2837,299,22842000,2001
10,"485",2144,163,10578000,2001
10,"486",NA,3,NA,2001
10,"487",NA,10,NA,2001
10,"488",880,94,6479000,2001
10,"492",768,27,5321000,2001
10,"493",NA,23,NA,2001
10,"511",1563,70,14735000,2001
10,"512",466,45,2195000,2001
10,"513",3735,183,46803000,2001
10,"514",3035,76,45654000,2001
10,"522",32508,748,450287000,2001
10,"523",NA,598,NA,2001
10,"524",8402,448,94182000,2001
10,"525",NA,42,NA,2001
10,"531",3149,719,22860000,2001
10,"532",1623,202,11068000,2001
10,"533",578,167,6944000,2001
10,"541",19564,2223,246609000,2001
10,"551",19969,2105,466760000,2001
10,"561",29330,1170,165114000,2001
10,"562",864,55,7779000,2001
10,"611",6249,227,37089000,2001
10,"621",14730,1344,151074000,2001
10,"622",NA,15,NA,2001
10,"623",8073,125,38992000,2001
10,"624",NA,481,NA,2001
10,"711",3429,93,22231000,2001
10,"712",978,25,5232000,2001
10,"713",3119,210,12660000,2001
10,"721",3050,156,15737000,2001
10,"722",24213,1452,69892000,2001
10,"811",3270,617,21521000,2001
10,"812",3902,649,16955000,2001
10,"813",8989,875,37905000,2001
11,"115",NA,3,NA,2001
11,"211",NA,1,NA,2001
11,"212",NA,1,NA,2001
11,"213",NA,2,NA,2001
11,"221",1908,36,45563000,2001
11,"233",2502,183,38857000,2001
11,"234",1601,25,17186000,2001
11,"235",2267,128,18451000,2001
11,"311",NA,18,NA,2001
11,"312",NA,6,NA,2001
11,"314",NA,5,NA,2001
11,"315",NA,6,NA,2001
11,"321",NA,1,NA,2001
11,"322",NA,1,NA,2001
11,"323",1026,75,9904000,2001
11,"325",NA,5,NA,2001
11,"327",226,5,2021000,2001
11,"332",NA,8,NA,2001
11,"333",NA,1,NA,2001
11,"334",NA,3,NA,2001
11,"335",NA,2,NA,2001
11,"336",NA,2,NA,2001
11,"337",NA,6,NA,2001
11,"339",211,18,2357000,2001
11,"421",2464,178,42878000,2001
11,"422",3142,167,30249000,2001
11,"441",391,49,2909000,2001
11,"442",954,112,5834000,2001
11,"443",381,60,2583000,2001
11,"444",561,53,7171000,2001
11,"445",5172,486,28471000,2001
11,"446",2057,180,11404000,2001
11,"447",619,87,2672000,2001
11,"448",3301,379,14726000,2001
11,"451",1442,122,6063000,2001
11,"452",1123,35,5907000,2001
11,"453",1643,282,8177000,2001
11,"454",572,58,7718000,2001
11,"481",703,41,5954000,2001
11,"483",NA,3,NA,2001
11,"484",309,26,1504000,2001
11,"485",1060,43,7485000,2001
11,"486",108,8,3521000,2001
11,"487",NA,5,NA,2001
11,"488",363,34,2554000,2001
11,"492",792,44,5526000,2001
11,"493",NA,6,NA,2001
11,"511",10587,204,202638000,2001
11,"512",1466,145,18311000,2001
11,"513",10769,264,203876000,2001
11,"514",2797,135,43471000,2001
11,"522",9750,468,256592000,2001
11,"523",3491,249,150925000,2001
11,"524",4830,213,86461000,2001
11,"525",526,14,15593000,2001
11,"531",NA,868,NA,2001
11,"532",NA,69,NA,2001
11,"533",NA,3,NA,2001
11,"541",80331,4249,1513846000,2001
11,"551",5064,197,91501000,2001
11,"561",31345,1074,285295000,2001
11,"562",144,20,1021000,2001
11,"611",40175,445,299190000,2001
11,"621",10739,1225,124156000,2001
11,"622",33106,21,344740000,2001
11,"623",6645,209,38472000,2001
11,"624",10954,588,77354000,2001
11,"711",2311,136,15750000,2001
11,"712",NA,40,NA,2001
11,"713",NA,71,NA,2001
11,"721",13487,117,95170000,2001
11,"722",30567,1575,122663000,2001
11,"811",776,162,5035000,2001
11,"812",5805,847,27276000,2001
11,"813",54328,2780,679225000,2001
12,"113",2857,350,22542000,2001
12,"114",380,181,1708000,2001
12,"115",10249,678,43813000,2001
12,"211",NA,31,NA,2001
12,"212",4915,163,50815000,2001
12,"213",NA,74,NA,2001
12,"221",27931,662,476806000,2001
12,"233",88144,10746,827193000,2001
12,"234",49756,2076,401927000,2001
12,"235",231159,26198,1590915000,2001
12,"311",33390,948,273999000,2001
12,"312",8147,108,78282000,2001
12,"313",1969,174,13851000,2001
12,"314",5995,472,31639000,2001
12,"315",12659,640,61628000,2001
12,"316",3658,80,19354000,2001
12,"321",15462,551,104433000,2001
12,"322",10813,160,119576000,2001
12,"323",24662,2088,185762000,2001
12,"324",989,56,9529000,2001
12,"325",20160,572,227213000,2001
12,"326",19833,634,142343000,2001
12,"327",24914,955,196351000,2001
12,"331",4715,179,39832000,2001
12,"332",39331,1909,292637000,2001
12,"333",24960,922,238889000,2001
12,"334",65931,758,818312000,2001
12,"335",12512,296,104590000,2001
12,"336",33893,736,316373000,2001
12,"337",18262,1335,115489000,2001
12,"339",30738,1819,279237000,2001
12,"421",183966,19736,1942219000,2001
12,"422",127425,10222,1160894000,2001
12,"441",113768,7708,984031000,2001
12,"442",35513,4632,213841000,2001
12,"443",24507,3100,154527000,2001
12,"444",70491,4929,458334000,2001
12,"445",206366,8382,781672000,2001
12,"446",66212,5605,334887000,2001
12,"447",45909,6580,167970000,2001
12,"448",92260,11161,348585000,2001
12,"451",32044,3651,115366000,2001
12,"452",147645,2262,616974000,2001
12,"453",50723,8469,205613000,2001
12,"454",29673,2598,225959000,2001
12,"481",28033,522,277036000,2001
12,"483",14637,217,164140000,2001
12,"484",46396,4389,361567000,2001
12,"485",11216,826,55596000,2001
12,"486",NA,39,NA,2001
12,"487",NA,371,NA,2001
12,"488",46826,3040,373301000,2001
12,"492",29121,959,217325000,2001
12,"493",4524,367,37042000,2001
12,"511",43597,1596,618084000,2001
12,"512",14750,1131,80882000,2001
12,"513",103635,3488,1254559000,2001
12,"514",19772,1231,280707000,2001
12,"521",NA,3,NA,2001
12,"522",181177,11302,1821075000,2001
12,"523",42552,4771,1047889000,2001
12,"524",122766,10679,1340364000,2001
12,"525",NA,198,NA,2001
12,"531",89432,19017,659741000,2001
12,"532",46362,4119,288674000,2001
12,"533",1905,114,34034000,2001
12,"541",371157,52752,4015083000,2001
12,"551",131007,2401,1848810000,2001
12,"561",1029861,27329,5562404000,2001
12,"562",13565,694,116410000,2001
12,"611",101100,4152,598271000,2001
12,"621",285302,32497,2658204000,2001
12,"622",255370,332,2158133000,2001
12,"623",135927,2910,688981000,2001
12,"624",92148,6134,384922000,2001
12,"711",22895,2034,247269000,2001
