"state_fips","county_fips","employment_march","establishments","payroll_quarter1","year"
5,117,1241,179,5645000,2001
5,119,225717,11671,1712392000,2001
5,121,4680,338,21651000,2001
5,123,10714,562,50569000,2001
5,125,16782,1375,88277000,2001
5,127,2715,173,11985000,2001
5,129,1082,128,4236000,2001
5,131,72110,3282,480596000,2001
5,133,5111,303,24643000,2001
5,135,3091,373,11766000,2001
5,137,2061,231,8154000,2001
5,139,18898,1252,126068000,2001
5,141,3001,305,12652000,2001
5,143,71828,4329,439684000,2001
5,145,21674,1436,124567000,2001
5,147,1589,144,8124000,2001
5,149,5846,362,27305000,2001
5,999,11361,55,75065000,2001
6,1,670375,36468,7590430000,2001
6,3,1282,55,5018000,2001
6,5,7861,852,44178000,2001
6,7,55931,4652,303549000,2001
6,9,6241,970,31593000,2001
6,11,3400,362,23094000,2001
6,13,329686,22285,3663925000,2001
6,15,4142,502,19414000,2001
6,17,38594,4044,261239000,2001
6,19,218995,15337,1465917000,2001
6,21,4347,514,28676000,2001
6,23,37634,3532,210253000,2001
6,25,25103,2270,140104000,2001
6,27,5567,599,28127000,2001
6,29,153457,11063,1118028000,2001
6,31,19929,1550,115974000,2001
6,33,10140,1142,60158000,2001
6,35,3906,501,20299000,2001
6,37,3889686,227941,3.5893e+10,2001
6,39,24012,1871,130215000,2001
6,41,109012,10256,1116009000,2001
6,43,3503,373,15768000,2001
6,45,25443,2829,139017000,2001
6,47,39990,2997,224880000,2001
6,49,1654,202,8211000,2001
6,51,6517,560,37183000,2001
6,53,106740,8719,823527000,2001
6,55,52052,3848,422361000,2001
6,57,28109,3032,175086000,2001
6,59,1409151,79937,13767463000,2001
6,61,107395,7685,915688000,2001
6,63,4626,743,27808000,2001
6,65,410073,27233,2661452000,2001
6,67,439198,25909,3776157000,2001
6,69,11263,1025,72893000,2001
6,71,467422,27352,3173778000,2001
6,73,1081762,69059,9849120000,2001
6,75,557049,30643,9439800000,2001
6,77,163533,10350,1128045000,2001
6,79,79094,7136,502612000,2001
6,81,382377,20378,6142544000,2001
6,83,140797,11005,1099745000,2001
6,85,1042998,45265,18641202000,2001
6,87,81466,7001,647566000,2001
6,89,47871,4510,291847000,2001
6,91,589,98,3952000,2001
6,93,9891,1275,50617000,2001
6,95,100819,6584,755614000,2001
6,97,172665,13526,1485571000,2001
6,99,125928,8298,823681000,2001
6,101,17690,1693,110188000,2001
6,103,11832,1000,72753000,2001
6,105,1600,315,7612000,2001
6,107,79078,5937,483270000,2001
6,109,13039,1521,70882000,2001
6,111,249865,17510,2159561000,2001
6,113,59829,3467,435400000,2001
6,115,8858,826,54002000,2001
6,999,78550,126,718967000,2001
8,1,127921,7245,1037811000,2001
8,3,5279,520,25862000,2001
8,5,308146,16645,3715844000,2001
8,7,2726,484,13102000,2001
8,9,599,102,2495000,2001
8,11,1099,73,9465000,2001
8,13,172266,11361,1890082000,2001
8,15,4911,771,22325000,2001
8,17,442,58,2381000,2001
8,19,2635,341,15485000,2001
8,21,826,119,3864000,2001
8,23,261,60,835000,2001
8,25,301,51,1185000,2001
8,27,546,148,2354000,2001
8,29,5497,767,29047000,2001
8,31,421426,22175,4562004000,2001
8,33,179,47,750000,2001
8,35,43096,4233,317029000,2001
8,37,29653,2901,209739000,2001
8,39,2340,458,13631000,2001
8,41,216106,13862,1785297000,2001
8,43,7693,872,39010000,2001
8,45,16390,2113,109929000,2001
8,47,3655,81,27435000,2001
8,49,6637,778,32534000,2001
8,51,7077,885,35650000,2001
8,53,179,71,669000,2001
8,55,1398,191,6221000,2001
8,57,231,60,1177000,2001
8,59,179920,16202,1552712000,2001
8,61,238,47,1143000,2001
8,63,1920,283,9676000,2001
8,65,1382,192,6354000,2001
8,67,17645,2049,107087000,2001
8,69,96202,8160,676483000,2001
8,71,3435,380,14298000,2001
8,73,1273,135,7121000,2001
8,75,5654,629,28942000,2001
8,77,44063,4073,266974000,2001
8,79,166,53,775000,2001
8,81,3428,398,23251000,2001
8,83,6740,760,33928000,2001
8,85,10355,1135,57273000,2001
8,87,8290,640,47069000,2001
8,89,4812,509,23413000,2001
8,91,857,239,4117000,2001
8,93,1260,412,6507000,2001
8,95,1028,143,5023000,2001
8,97,16280,1562,123938000,2001
8,99,4026,422,20880000,2001
8,101,44636,3194,266632000,2001
8,103,1611,212,12601000,2001
8,105,2748,398,13519000,2001
8,107,17592,1371,136642000,2001
8,109,676,119,2727000,2001
8,111,74,49,262000,2001
8,113,4834,542,27627000,2001
8,115,483,89,2155000,2001
8,117,19991,1888,110226000,2001
8,119,5451,631,31646000,2001
8,121,732,107,3610000,2001
8,123,58214,4281,411721000,2001
8,125,2251,333,11294000,2001
8,999,28788,116,205398000,2001
9,1,457272,28673,7430118000,2001
9,3,477530,23001,5393025000,2001
9,5,59042,5152,457127000,2001
9,7,61465,4222,533665000,2001
9,9,335101,20549,3024973000,2001
9,11,105598,5739,883193000,2001
9,13,28926,2558,193089000,2001
9,15,30280,2211,207356000,2001
10,1,46469,3007,292325000,2001
10,3,291416,16386,3264082000,2001
10,5,51491,4681,306595000,2001
11,999,422549,19686,5209004000,2001
12,1,84779,5186,520546000,2001
12,3,4040,305,21772000,2001
12,5,52887,4179,294634000,2001
12,7,4324,387,18825000,2001
12,9,164500,11484,1229264000,2001
12,11,640214,51036,4946717000,2001
12,13,1943,198,8324000,2001
12,15,29956,3149,172212000,2001
12,17,23226,2415,141875000,2001
12,19,31958,2824,172274000,2001
12,21,98832,8705,711462000,2001
12,23,15363,1178,90865000,2001
12,25,845720,67703,6741783000,2001
12,27,5383,419,28501000,2001
12,29,1311,189,6179000,2001
12,31,413792,21341,3184366000,2001
12,33,108006,6606,706196000,2001
12,35,10337,1120,53794000,2001
12,37,2286,313,9487000,2001
12,39,9548,582,56566000,2001
12,41,1169,177,5653000,2001
12,43,1548,126,8763000,2001
12,45,1834,267,10432000,2001
12,47,2053,167,16143000,2001
12,49,3644,365,20213000,2001
12,51,4706,480,26843000,2001
12,53,23756,2380,132178000,2001
12,55,16694,1735,85699000,2001
12,57,520203,27430,4386370000,2001
12,59,2065,251,8215000,2001
12,61,39804,3437,251747000,2001
12,63,8672,776,39082000,2001
12,65,1626,236,7692000,2001
12,67,833,106,4240000,2001
12,69,54253,4760,310576000,2001
12,71,147047,12785,971092000,2001
12,73,92853,6539,602478000,2001
12,75,5769,642,27114000,2001
12,77,824,84,4319000,2001
12,79,3568,306,15598000,2001
12,81,69887,5711,473891000,2001
12,83,71560,5521,423829000,2001
12,85,48050,4355,311182000,2001
12,87,32202,3722,191155000,2001
12,89,12564,1236,86610000,2001
12,91,60333,4771,336737000,2001
12,93,6603,671,36617000,2001
12,95,578818,26607,4403011000,2001
12,97,48904,3429,264192000,2001
12,99,469242,37392,4027758000,2001
12,101,64087,6289,348977000,2001
12,103,434866,25825,3117104000,2001
12,105,155412,9606,1036066000,2001
12,107,12668,1244,75935000,2001
12,109,38908,3551,237596000,2001
12,111,41422,3859,253506000,2001
12,113,18921,1976,95063000,2001
12,115,156453,11493,1014024000,2001
12,117,136151,10725,1049970000,2001
12,119,5127,518,26878000,2001
12,121,7501,624,34446000,2001
12,123,4456,389,29801000,2001
12,125,1492,124,9412000,2001
12,127,132851,10827,738569000,2001
12,129,2698,354,13233000,2001
12,131,8431,915,40873000,2001
12,133,4002,339,19017000,2001
12,999,326761,142,1845910000,2001
13,1,4653,373,39106000,2001
13,3,1383,97,7786000,2001
13,5,2855,216,14732000,2001
13,7,267,25,1487000,2001
13,9,14566,847,86198000,2001
13,11,2955,205,13781000,2001
13,13,10276,850,65303000,2001
13,15,26317,1619,177372000,2001
13,17,6604,380,40141000,2001
13,19,3935,280,22449000,2001
13,21,79713,4575,558080000,2001
13,23,3256,192,17879000,2001
13,25,1510,181,7193000,2001
13,27,2190,200,10619000,2001
13,29,3264,403,15743000,2001
13,31,16382,1244,81212000,2001
13,33,5478,332,42983000,2001
13,35,4255,345,22412000,2001
13,37,790,105,3269000,2001
13,39,8294,698,46890000,2001
13,43,2434,206,11748000,2001
13,45,27174,1868,184389000,2001
13,47,10345,768,59546000,2001
13,49,1655,175,8061000,2001
13,51,110482,6636,753973000,2001
13,53,1304,55,9248000,2001
13,55,6409,334,33211000,2001
13,57,31227,3413,183759000,2001
13,59,43027,2649,261346000,2001
13,61,277,47,965000,2001
13,63,90040,4340,619395000,2001
13,65,2548,129,11880000,2001
13,67,316010,18024,3050682000,2001
13,69,14951,830,81876000,2001
13,71,11278,885,56081000,2001
13,73,26835,1784,179913000,2001
13,75,3931,335,19103000,2001
13,77,24353,1679,152550000,2001
13,79,692,81,2865000,2001
13,81,7321,538,35922000,2001
13,83,2599,221,13091000,2001
13,85,4382,498,21486000,2001
13,87,8788,588,50186000,2001
13,89,323875,16941,2817941000,2001
13,91,3667,369,17296000,2001
13,93,2754,175,14543000,2001
13,95,44123,2533,298509000,2001
13,97,29650,2168,169861000,2001
13,99,3024,237,26532000,2001
13,101,33,10,133000,2001
13,103,5735,520,40844000,2001
13,105,6127,542,31331000,2001
13,107,5044,408,24863000,2001
13,109,3995,239,18932000,2001
13,111,4231,450,21915000,2001
13,113,32773,2493,223545000,2001
13,115,36749,2026,226994000,2001
13,117,30225,2463,219657000,2001
13,119,6579,489,41985000,2001
13,121,759306,31327,9020218000,2001
13,123,6391,445,32152000,2001
13,125,175,22,555000,2001
13,127,30479,2378,180645000,2001
13,129,17038,986,107222000,2001
13,131,3809,384,20057000,2001
13,133,4623,342,24515000,2001
13,135,301501,18360,2812701000,2001
13,137,11465,825,67746000,2001
13,139,56748,3403,389845000,2001
13,141,683,79,2626000,2001
13,143,5567,445,32431000,2001
13,145,4525,403,19722000,2001
13,147,5803,372,35540000,2001
13,149,1452,122,9329000,2001
13,151,31645,2406,192950000,2001
13,153,27694,1996,155173000,2001
13,155,2020,131,8982000,2001
13,157,14420,1050,90164000,2001
13,159,1913,159,11732000,2001
13,161,4548,300,23834000,2001
13,163,4455,345,26603000,2001
13,165,2057,145,9693000,2001
13,167,1406,141,6996000,2001
13,169,1717,229,9661000,2001
13,171,2882,228,14500000,2001
13,173,951,123,4400000,2001
13,175,17239,1051,104822000,2001
13,177,1992,221,9660000,2001
13,179,9619,704,49867000,2001
13,181,1147,160,5222000,2001
13,183,337,49,924000,2001
13,185,36361,2417,198645000,2001
13,187,4099,388,24130000,2001
13,189,7033,473,38761000,2001
13,191,1718,217,7514000,2001
13,193,2457,210,16966000,2001
13,195,4846,493,28616000,2001
13,197,2495,81,10948000,2001
13,199,4400,342,25754000,2001
13,201,891,138,3618000,2001
13,205,6452,401,28755000,2001
13,207,3535,374,21755000,2001
13,209,1148,105,6154000,2001
13,211,5524,412,31884000,2001
13,213,10183,459,64898000,2001
13,215,84793,4240,606236000,2001
13,217,15561,1201,107139000,2001
13,219,6079,600,32889000,2001
13,221,902,146,4297000,2001
13,223,9574,1030,53062000,2001
13,225,6686,456,41217000,2001
13,227,4838,495,29913000,2001
13,229,2576,301,12627000,2001
13,231,1324,215,7032000,2001
13,233,8521,632,48720000,2001
13,235,2370,200,12080000,2001
13,237,5333,375,29551000,2001
13,239,224,35,970000,2001
13,241,5484,492,26983000,2001
13,243,1454,154,7221000,2001
13,245,85931,4465,558297000,2001
13,247,33748,2034,244550000,2001
13,249,1021,61,5652000,2001
13,251,2716,240,14603000,2001
13,253,1518,189,7442000,2001
13,255,18822,1189,109317000,2001
13,257,9494,607,57882000,2001
13,259,804,89,3534000,2001
13,261,12047,699,68651000,2001
13,263,521,62,2910000,2001
13,265,60,20,211000,2001
13,267,2809,296,12658000,2001
13,269,1308,136,7680000,2001
13,271,3639,242,16677000,2001
13,273,2199,190,10482000,2001
13,275,18142,1064,113033000,2001
13,277,17308,1158,100659000,2001
13,279,9720,706,47823000,2001
13,281,1874,290,9496000,2001
13,283,786,90,2751000,2001
13,285,31760,1421,231619000,2001
13,287,1760,170,7828000,2001
13,289,1346,90,11047000,2001
13,291,3915,487,19033000,2001
13,293,7766,494,45232000,2001
13,295,16130,904,96429000,2001
13,297,12273,1270,74869000,2001
13,299,12328,981,63215000,2001
13,301,1365,76,7534000,2001
13,303,6636,390,48973000,2001
13,305,7403,526,41868000,2001
13,307,295,23,1516000,2001
13,309,1013,75,4903000,2001
13,311,4428,602,24039000,2001
13,313,54520,2546,374110000,2001
13,315,640,105,2712000,2001
13,317,3200,266,17305000,2001
13,319,2911,163,24653000,2001
13,321,2382,295,11227000,2001
13,999,33988,68,228144000,2001
15,1,46711,3688,287354000,2001
15,3,320461,20801,2384696000,2001
15,7,20529,1731,119503000,2001
15,9,54155,3955,344818000,2001
16,1,161511,10275,1227636000,2001
16,3,580,104,3635000,2001
16,5,25310,1868,152537000,2001
16,7,906,131,3536000,2001
16,9,2470,276,15231000,2001
16,11,9757,774,52308000,2001
16,13,10743,1309,67967000,2001
16,15,507,121,1889000,2001
16,17,10517,1266,57520000,2001
16,19,37947,2661,262886000,2001
16,21,2273,336,11802000,2001
16,23,331,69,1402000,2001
16,25,89,20,257000,2001
16,27,42147,3063,253230000,2001
16,29,2062,188,16465000,2001
16,31,6318,595,32120000,2001
16,33,101,14,352000,2001
16,35,1644,253,9809000,2001
16,37,814,142,4282000,2001
16,39,4014,396,17270000,2001
16,41,1764,231,7978000,2001
16,43,1447,258,5947000,2001
16,45,2093,308,11023000,2001
16,47,2293,315,10939000,2001
16,49,2618,436,13043000,2001
16,51,3394,363,14842000,2001
16,53,4437,431,22342000,2001
16,55,36660,3642,202549000,2001
16,57,8037,853,35706000,2001
16,59,1634,308,7259000,2001
16,61,689,122,3328000,2001
16,63,594,78,2454000,2001
16,65,12035,531,42333000,2001
16,67,5417,375,26935000,2001
16,69,15971,1164,107917000,2001
16,71,546,71,2405000,2001
16,73,1523,151,8793000,2001
16,75,3863,404,20226000,2001
16,77,1940,149,9732000,2001
16,79,3206,369,18687000,2001
16,81,1164,244,4875000,2001
16,83,23789,2234,121546000,2001
16,85,2445,475,9919000,2001
16,87,2153,223,8599000,2001
16,999,7563,26,38029000,2001
17,1,29775,1890,186808000,2001
17,3,1697,154,9338000,2001
17,5,4068,349,21651000,2001
17,7,11596,722,89105000,2001
17,9,1918,127,12981000,2001
17,11,11040,847,65858000,2001
17,13,760,105,3130000,2001
17,15,3912,437,21800000,2001
17,17,4617,313,24809000,2001
17,19,71162,4097,458279000,2001
17,21,10498,816,55481000,2001
17,23,4591,391,27544000,2001
17,25,5242,381,29633000,2001
17,27,8095,819,39890000,2001
17,29,20735,1299,128650000,2001
17,31,2515882,127162,28013174000,2001
17,33,6828,474,51855000,2001
17,35,1619,183,6816000,2001
17,37,26061,1937,166911000,2001
17,39,5179,406,55865000,2001
17,41,7443,630,42571000,2001
17,43,622033,32543,6417031000,2001
17,45,5363,412,27287000,2001
17,47,2892,172,19404000,2001
17,49,19142,1122,114158000,2001
17,51,4965,486,25289000,2001
17,53,4025,422,22299000,2001
17,55,8584,837,46106000,2001
17,57,7094,715,32502000,2001
17,59,1022,132,8335000,2001
17,61,1925,277,9080000,2001
17,63,10904,916,95938000,2001
17,65,1105,184,4133000,2001
17,67,5097,484,25468000,2001
17,69,812,70,4222000,2001
17,71,648,119,2501000,2001
17,73,14103,1147,74345000,2001
17,75,7076,731,35746000,2001
17,77,18609,1373,91968000,2001
17,79,2394,242,15576000,2001
17,81,15695,1075,100327000,2001
17,83,4569,412,21065000,2001
17,85,7577,757,35906000,2001
17,87,1167,196,4645000,2001
17,89,179345,10499,1437008000,2001
17,91,37535,2275,250683000,2001
17,93,13572,1201,86635000,2001
17,95,20629,1272,115471000,2001
17,97,312014,18388,3414005000,2001
17,99,38888,2942,255162000,2001
17,101,4230,350,21004000,2001
17,103,10660,811,68556000,2001
17,105,11749,930,88958000,2001
17,107,8633,695,46430000,2001
17,109,9359,771,49444000,2001
17,111,89910,7022,695527000,2001
17,113,79778,3506,690748000,2001
17,115,53746,2685,417557000,2001
17,117,10396,1068,58659000,2001
17,119,83264,5770,551932000,2001
17,121,15103,1156,87526000,2001
17,123,3036,293,17483000,2001
17,125,2796,335,15376000,2001
17,127,4464,270,32598000,2001
17,129,1422,248,7309000,2001
17,131,2307,331,10675000,2001
17,133,6448,668,36440000,2001
17,135,8502,777,50318000,2001
17,137,14728,921,82874000,2001
17,139,3519,308,19962000,2001
17,141,15064,1014,111699000,2001
17,143,104939,4763,872958000,2001
17,145,5700,451,30594000,2001
17,147,2918,368,15036000,2001
17,149,3195,397,14096000,2001
17,151,328,70,1297000,2001
17,153,912,120,5084000,2001
17,155,1554,122,13862000,2001
17,157,10333,724,63108000,2001
17,159,6243,506,34374000,2001
17,161,67466,3613,531994000,2001
17,163,75592,5420,464766000,2001
17,165,7811,665,43794000,2001
17,167,83346,5275,557244000,2001
17,169,1323,165,5893000,2001
17,171,686,99,4047000,2001
17,173,4528,471,25354000,2001
17,175,909,129,4175000,2001
17,177,18650,1126,139386000,2001
17,179,41918,2850,296542000,2001
17,181,4494,363,23890000,2001
17,183,28457,1700,191487000,2001
17,185,3777,301,21382000,2001
17,187,5292,384,25896000,2001
17,189,5367,418,31911000,2001
17,191,3630,354,20329000,2001
17,193,3517,410,18922000,2001
17,195,20963,1442,127341000,2001
17,197,145697,10373,1238781000,2001
17,199,20358,1575,109193000,2001
17,201,133124,7033,1034183000,2001
17,203,8187,724,47766000,2001
17,999,65519,76,439242000,2001
18,1,13017,784,81210000,2001
18,3,172197,8984,1333595000,2001
18,5,37892,1914,335264000,2001
18,7,2027,250,10099000,2001
18,9,3666,287,22199000,2001
18,11,12809,1294,77028000,2001
18,13,2155,363,8538000,2001
18,15,4580,413,25505000,2001
18,17,16074,842,95466000,2001
18,19,42154,2483,265681000,2001
18,21,5637,527,28275000,2001
18,23,9584,656,56061000,2001
18,25,1150,149,4837000,2001
18,27,8613,737,42828000,2001
18,29,13561,963,83914000,2001
18,31,12562,616,76967000,2001
18,33,21009,1005,167224000,2001
18,35,48787,2649,326308000,2001
18,37,28913,1259,194130000,2001
18,39,109759,5031,788480000,2001
18,41,9534,533,76398000,2001
18,43,26827,1723,174996000,2001
18,45,4967,396,29436000,2001
18,47,4077,343,22510000,2001
18,49,6202,480,36133000,2001
18,51,12060,736,88760000,2001
18,53,29987,1507,193887000,2001
18,55,5798,623,25555000,2001
18,57,80950,5503,752425000,2001
18,59,14432,1281,117376000,2001
18,61,9236,660,53403000,2001
18,63,28315,2192,182570000,2001
18,65,12186,936,88341000,2001
18,67,41872,1966,419855000,2001
18,69,15332,863,89453000,2001
18,71,19108,1072,122388000,2001
18,73,10689,780,66024000,2001
18,75,6860,436,41244000,2001
18,77,11834,733,75674000,2001
18,79,6984,440,38083000,2001
18,81,39781,2630,237185000,2001
18,83,13842,1023,79039000,2001
18,85,31885,1870,242955000,2001
18,87,10577,702,65107000,2001
18,89,177320,9952,1318327000,2001
18,91,39545,2625,261219000,2001
18,93,13490,948,93902000,2001
18,95,42861,2719,290324000,2001
18,97,564810,24021,5536094000,2001
18,99,17313,1117,107581000,2001
18,101,2211,248,13204000,2001
18,103,7974,684,43838000,2001
18,105,46678,2928,281039000,2001
18,107,14893,915,106521000,2001
18,109,13972,1302,78503000,2001
18,111,3052,292,16893000,2001
18,113,18647,921,127518000,2001
18,115,1586,75,9857000,2001
18,117,6467,389,38362000,2001
18,119,3654,314,19836000,2001
18,121,2560,308,11318000,2001
18,123,4710,389,28076000,2001
18,125,2144,195,19347000,2001
18,127,48330,3293,363976000,2001
18,129,7181,524,66956000,2001
18,131,3507,350,22362000,2001
18,133,11135,662,59635000,2001
18,135,6694,565,43043000,2001
18,137,11718,715,114618000,2001
18,139,4822,421,26933000,2001
18,141,121271,6456,877137000,2001
18,143,6511,441,35419000,2001
18,145,15535,952,113297000,2001
18,147,5796,408,42453000,2001
18,149,3672,347,17813000,2001
18,151,16154,1007,98894000,2001
18,153,3548,377,21413000,2001
18,155,2289,119,12639000,2001
18,157,62470,3167,471587000,2001
18,159,3770,327,24353000,2001
18,161,986,141,4965000,2001
18,163,106306,5166,729520000,2001
18,165,4896,299,45920000,2001
18,167,47506,2633,292241000,2001
18,169,13792,845,86803000,2001
18,171,1065,109,6074000,2001
18,173,11092,1041,72822000,2001
18,175,6049,485,33263000,2001
18,177,31424,1677,189486000,2001
18,179,10760,624,66820000,2001
18,181,8633,691,49718000,2001
18,183,11258,699,72520000,2001
18,999,10200,63,29581000,2001
19,1,2165,219,11007000,2001
19,3,853,120,3797000,2001
19,5,4968,406,24692000,2001
19,7,3760,314,20167000,2001
19,9,1302,205,5723000,2001
19,11,4612,628,23806000,2001
19,13,60268,3152,395914000,2001
19,15,6915,573,41894000,2001
19,17,7730,615,48505000,2001
19,19,5397,520,30314000,2001
19,21,8207,585,43917000,2001
19,23,2135,366,9818000,2001
19,25,2325,295,10661000,2001
19,27,10082,853,50778000,2001
19,29,5288,491,27104000,2001
19,31,4114,494,19963000,2001
19,33,22434,1466,138877000,2001
19,35,4522,390,24309000,2001
19,37,3550,401,18818000,2001
19,39,3848,221,20716000,2001
19,41,8237,641,45727000,2001
19,43,5283,555,26539000,2001
19,45,19459,1282,115262000,2001
19,47,5930,464,31865000,2001
19,49,10047,856,63117000,2001
19,51,1537,185,7379000,2001
19,53,2346,170,8565000,2001
19,55,4822,494,25846000,2001
19,57,20787,1215,124783000,2001
19,59,7377,694,44742000,2001
19,61,48677,2645,298585000,2001
19,63,3618,320,18822000,2001
19,65,6980,645,32322000,2001
19,67,4510,460,25708000,2001
19,69,3016,329,17010000,2001
19,71,1471,185,7164000,2001
19,73,2588,295,12308000,2001
19,75,2816,317,16918000,2001
19,77,1850,296,7962000,2001
19,79,6173,437,37315000,2001
19,81,3148,329,17037000,2001
19,83,7045,624,34689000,2001
19,85,3199,349,14906000,2001
19,87,11989,562,70035000,2001
19,89,3445,258,18671000,2001
19,91,3369,320,20012000,2001
19,93,3298,263,19889000,2001
19,95,9459,493,62213000,2001
19,97,5202,585,21798000,2001
19,99,13854,831,107804000,2001
19,101,7393,670,51265000,2001
19,103,52276,2638,336003000,2001
19,105,4457,494,22253000,2001
19,107,1753,269,8744000,2001
19,109,5451,542,29267000,2001
19,111,15285,1009,99707000,2001
19,113,111650,5283,927140000,2001
