"year","cz","employment_march","establishments","payroll_quarter1"
2001,1,565813,26019,4362916000
2002,1,528213,26184,4253631000
2003,1,518658,25851,4408529000
2004,1,529208,25999,4516715000
2005,1,531720,26204,4724159000
2006,1,550339,26762,5132824000
2007,1,547849,26760,5260154000
2008,1,553699,26673,5532158000
2009,1,517910,25975,5069345000
2010,1,507401,25640,4877695000
2011,1,508117,25016,5046543000
2012,1,513754,25022,5370629000
2013,1,520996,25018,5551761000
2014,1,520690,25047,5694086000
2015,1,524537,25042,5681952000
2016,1,532333,25256,5833886000
2017,1,538046,25460,6207647000
2018,1,537312,25474,6387030000
2019,1,549464,25633,6506142000
2001,2,1134182,60120,9901188000
2002,2,1110422,61123,9741694000
2003,2,1129910,61878,9780711000
2004,2,1143815,63110,10239652000
2005,2,1143356,63653,10609631000
2006,2,1153242,63911,11731346000
2007,2,1153656,64328,12241593000
2008,2,1154418,63391,12376318000
2009,2,1100520,62649,11931087000
2010,2,1065294,62268,11469098000
2011,2,1070249,61437,11941031000
2012,2,1072745,61973,12472106000
2013,2,1086375,63847,12832536000
2014,2,1102773,65893,13509421000
2015,2,1121166,68448,14270883000
2016,2,1135115,70136,14174809000
2017,2,1145495,63459,15354636000
2018,2,1148249,65281,15779078000
2019,2,1147341,64518,16219493000
2001,3,20196,1220,160465000
2002,3,19299,1237,159122000
2003,3,17928,1218,145335000
2004,3,18650,1218,158148000
2005,3,19297,1271,159076000
2006,3,19752,1313,176680000
2007,3,25497,1360,227708000
2008,3,23095,1354,249225000
2009,3,22600,1320,242023000
2010,3,21416,1325,235428000
2011,3,21429,1310,240716000
2012,3,25267,1305,328979000
2013,3,25128,1328,355314000
2014,3,25332,1318,380881000
2015,3,24617,1341,359409000
2016,3,23078,1328,324199000
2017,3,23058,1336,316633000
2018,3,25337,1321,419497000
2019,3,25839,1340,429837000
2001,4,86797,5008,572663000
2002,4,81836,5051,506718000
2003,4,78220,4972,517899000
2004,4,76222,4956,520366000
2005,4,77345,4977,566855000
2006,4,81377,4993,573842000
2007,4,80582,4990,584123000
2008,4,82016,4971,649362000
2009,4,82388,4947,632206000
2010,4,79715,4925,618606000
2011,4,79745,4877,646830000
2012,4,79992,4852,649275000
2013,4,79563,4854,672308000
2014,4,81162,4818,690909000
2015,4,81882,4843,720053000
2016,4,82470,4842,753979000
2017,4,82863,4848,797853000
2018,4,84512,4807,843144000
2019,4,85578,4785,875222000
2001,5,1262665,79153,13138540000
2002,5,1172328,79276,11451045000
2003,5,1149532,79968,11372484000
2004,5,1150775,81398,11677072000
2005,5,1158099,83115,12218881000
2006,5,1196133,84561,13559031000
2007,5,1218205,85627,14394178000
2008,5,1253939,85084,15333568000
2009,5,1167061,83591,14448822000
2010,5,1139172,83389,13986630000
2011,5,1150639,83120,14594305000
2012,5,1195390,84754,15675904000
2013,5,1228029,86071,16319184000
2014,5,1280058,88197,17885961000
2015,5,1319950,90695,18682235000
2016,5,1355764,92831,18832438000
2017,5,1388008,95452,20429367000
2018,5,1423995,96912,21826868000
2019,5,1437601,98012,23177161000
2001,6,7238,786,34479000
2002,6,7154,807,36045000
2003,6,7472,823,38527000
2004,6,7429,836,40373000
2005,6,7820,845,42585000
2006,6,8116,847,46576000
2007,6,7554,876,46462000
2008,6,6686,842,47760000
2009,6,7711,849,50865000
2010,6,7730,865,50788000
2011,6,7653,843,51884000
2012,6,7893,828,56230000
2013,6,7802,831,59866000
2014,6,7976,842,62196000
2015,6,8172,852,63551000
2016,6,8384,845,68024000
2017,6,8345,859,68524000
2018,6,8715,852,73936000
2019,6,7912,827,72937000
2001,7,93949,6285,623130000
2002,7,90716,6323,612015000
2003,7,90612,6305,628102000
2004,7,95186,6337,667637000
2005,7,95583,6484,690470000
2006,7,100256,6484,777244000
2007,7,96524,6603,781413000
2008,7,98027,6580,832218000
2009,7,96025,6538,808483000
2010,7,94621,6524,808965000
2011,7,97054,6532,859546000
2012,7,100529,6598,960673000
2013,7,100859,6698,942671000
2014,7,101497,6759,977464000
2015,7,102087,6762,1013016000
2016,7,101853,6812,1032610000
2017,7,101992,6820,1060880000
2018,7,101386,6808,1084270000
2019,7,103724,6778,1149862000
2001,8,62960,4208,398107000
2002,8,62042,4324,397346000
2003,8,63493,4367,424173000
2004,8,65397,4379,425851000
2005,8,63230,4385,425615000
2006,8,64295,4408,452829000
2007,8,62160,4462,442819000
2008,8,61937,4334,451417000
2009,8,59266,4273,426409000
2010,8,55639,4206,410849000
2011,8,55904,4077,433094000
2012,8,58071,4034,478005000
2013,8,57404,3993,471413000
2014,8,56959,3992,473229000
2015,8,56526,3937,471757000
2016,8,56268,3930,468127000
2017,8,56236,3913,517432000
2018,8,55668,3882,503693000
2019,8,56340,3905,528257000
2001,9,2019393,109975,20700542000
2002,9,2004990,111889,20866761000
2003,9,2068741,112569,20759240000
2004,9,2016916,114317,20774247000
2005,9,2012720,115819,22008793000
2006,9,2127306,118866,25757927000
2007,9,2243081,121674,28494373000
2008,9,2275825,122499,31058161000
2009,9,2241134,122639,30286762000
2010,9,2186008,123633,29460900000
2011,9,2229426,124895,32428645000
2012,9,2347517,128069,35600545000
2013,9,2461853,130794,38079501000
2014,9,2520296,134028,40764621000
2015,9,2589620,137202,43510490000
2016,9,2590116,140292,41737343000
2017,9,2612662,143415,42637903000
2018,9,2642135,145661,44729755000
2019,9,2717850,147758,47659096000
2001,10,847509,42224,7081893000
2002,10,831776,42768,7008029000
2003,10,833724,43011,7101435000
2004,10,835745,43679,7401841000
2005,10,826312,43541,7390637000
2006,10,832247,43826,8308782000
2007,10,841169,44037,8772363000
2008,10,838216,43062,8943060000
2009,10,805278,42280,8379244000
2010,10,792053,42058,8150366000
2011,10,799231,41471,8631367000
2012,10,842126,41916,9425154000
2013,10,855453,42228,9715533000
2014,10,859502,42641,10356520000
2015,10,871630,43151,10623775000
2016,10,894439,43900,10801983000
2017,10,909686,44360,11435523000
2018,10,938708,44931,12220982000
2019,10,948455,45356,12780770000
2001,11,111443,6530,712509000
2002,11,111044,6720,753225000
2003,11,113104,6739,789123000
2004,11,116885,6882,827807000
2005,11,116428,7020,864171000
2006,11,122689,7128,969997000
2007,11,125808,7270,1066644000
2008,11,129489,7230,1147129000
2009,11,126400,7240,1106248000
2010,11,125169,7283,1072876000
2011,11,124775,7173,1120025000
2012,11,129003,7380,1201337000
2013,11,132327,7516,1293240000
2014,11,136052,7562,1399516000
2015,11,139568,7737,1475109000
2016,11,142623,7909,1529504000
2017,11,146140,8099,1644185000
2018,11,146865,8220,1750532000
2019,11,146834,8283,1766819000
2001,12,116939,7651,714451000
2002,12,119370,8166,751874000
2003,12,120131,8378,780202000
2004,12,122663,8655,806908000
2005,12,126062,8811,842100000
2006,12,129987,8966,953728000
2007,12,132255,8980,1036236000
2008,12,133397,8808,1072901000
2009,12,125482,8684,982702000
2010,12,124724,8677,979041000
2011,12,125349,8580,1013859000
2012,12,127479,8666,1107766000
2013,12,130227,8698,1134044000
2014,12,133145,8816,1187303000
2015,12,135953,8807,1278913000
2016,12,137313,8934,1309867000
2017,12,139888,9075,1432493000
2018,12,139962,9085,1480378000
2019,12,141116,9103,1521405000
2001,13,12545,1224,59391000
2002,13,11561,1248,57286000
2003,13,11473,1229,58146000
2004,13,11828,1219,61543000
2005,13,11602,1219,62209000
2006,13,11803,1197,70331000
2007,13,11503,1228,70643000
2008,13,11559,1239,72526000
2009,13,10845,1209,64653000
2010,13,10913,1195,63885000
2011,13,10632,1159,64768000
2012,13,10628,1153,70372000
2013,13,10531,1134,70110000
2014,13,10631,1111,73890000
2015,13,10671,1098,77927000
2016,13,10830,1079,78597000
2017,13,11366,1122,93584000
2018,13,11182,1112,89430000
2019,13,11385,1115,93427000
2001,14,500468,27876,4229110000
2002,14,494597,28333,4227973000
2003,14,489023,28848,4409145000
2004,14,499860,29653,4726792000
2005,14,499425,30143,5136242000
2006,14,514648,30736,5379789000
2007,14,515968,31314,5934562000
2008,14,520007,30981,6104563000
2009,14,494069,30270,5760945000
2010,14,466434,29956,5285127000
2011,14,468253,29481,5626106000
2012,14,465851,29863,5441827000
2013,14,505215,30095,5721660000
2014,14,497034,30409,6059567000
2015,14,520298,30742,6606160000
2016,14,530872,31135,6637356000
2017,14,541040,31770,7081143000
2018,14,555241,31895,7919507000
2019,14,562143,32128,8245453000
2001,15,305797,16553,2378992000
2002,15,303997,16761,2485940000
2003,15,307640,16925,2659027000
2004,15,308899,17089,2775834000
2005,15,314195,17360,2871572000
2006,15,323247,17686,3193092000
2007,15,328147,17985,3312731000
2008,15,332631,17864,3489753000
2009,15,321156,17632,3309072000
2010,15,312973,17659,3227225000
2011,15,311132,17472,3364479000
2012,15,324327,17670,3651261000
2013,15,330505,17828,3794154000
2014,15,337671,18069,4009723000
2015,15,347954,18427,4239756000
2016,15,356158,18909,4360508000
2017,15,360644,19540,4745940000
2018,15,367841,19791,4969393000
2019,15,370917,20051,5127589000
2001,16,310045,18338,2210899000
2002,16,311709,18676,2263768000
2003,16,314165,18703,2335232000
2004,16,322530,18857,2443509000
2005,16,327315,19266,2548501000
2006,16,353992,19881,2989774000
2007,16,357442,20629,3238229000
2008,16,358061,20595,3321020000
2009,16,355550,20371,3432225000
2010,16,348049,20312,3288583000
2011,16,345551,20310,3489623000
2012,16,356734,20388,3774928000
2013,16,377803,20432,4171944000
2014,16,379546,20487,4405447000
2015,16,379380,20734,4406563000
2016,16,384010,20918,4461051000
2017,16,387063,21164,4712400000
2018,16,386119,21184,4792244000
2019,16,393972,21309,5014655000
2001,17,283778,18133,1977310000
2002,17,276990,18350,1983580000
2003,17,288438,18523,2071955000
2004,17,290747,18726,2158489000
2005,17,294588,19090,2282232000
2006,17,312191,19706,2577105000
2007,17,313189,20144,2607392000
2008,17,309199,19845,2725843000
2009,17,291546,19324,2576113000
2010,17,282692,18936,2438452000
2011,17,279616,18709,2524277000
2012,17,279525,18821,2532669000
2013,17,281884,18805,2720788000
2014,17,282810,18799,2627865000
2015,17,296964,18811,2966118000
2016,17,310189,18874,3075291000
2017,17,306647,19073,3235412000
2018,17,309598,19035,3322746000
2019,17,313710,19064,3451381000
2001,18,81763,5859,588326000
2002,18,83442,6076,636629000
2003,18,87218,6178,676594000
2004,18,88254,6295,706308000
2005,18,88740,6371,744760000
2006,18,89761,6485,803675000
2007,18,91878,6846,844453000
2008,18,96956,6883,925908000
2009,18,92633,6784,879710000
2010,18,95300,6759,907046000
2011,18,96823,6776,996048000
2012,18,97696,6932,1017220000
2013,18,98618,6897,1023181000
2014,18,98966,7027,1021414000
2015,18,99783,7215,1044028000
2016,18,104912,7283,1120318000
2017,18,109137,7619,1211472000
2018,18,115329,7803,1368612000
2019,18,115764,7983,1402694000
2001,19,47401,3365,255349000
2002,19,48944,3461,269625000
2003,19,50708,3496,273445000
2004,19,51281,3569,280774000
2005,19,54974,3611,304530000
2006,19,53708,3690,332723000
2007,19,53507,3782,345330000
2008,19,52099,3756,341082000
2009,19,48760,3689,309893000
2010,19,46697,3616,301016000
2011,19,45715,3642,312147000
2012,19,47120,3541,337356000
2013,19,47133,3507,336390000
2014,19,48097,3591,349898000
2015,19,49699,3607,379486000
2016,19,50658,3635,381879000
2017,19,50615,3692,402424000
2018,19,51700,3704,435796000
2019,19,51668,3658,449724000
2001,20,12862,746,71809000
2002,20,12386,733,65841000
2003,20,11754,733,62404000
2004,20,11793,727,64157000
2005,20,12105,723,72489000
2006,20,11792,719,76515000
2007,20,11683,735,82254000
2008,20,10989,700,70656000
2009,20,10132,676,68285000
2010,20,9895,669,65267000
2011,20,7781,648,56326000
2012,20,7258,632,56983000
2013,20,6842,614,54475000
2014,20,6729,607,52931000
2015,20,9285,593,74919000
2016,20,9178,595,73107000
2017,20,9045,598,75361000
2018,20,9295,605,77945000
2019,20,9151,596,80524000
2001,21,445547,24135,3615028000
2002,21,435855,24500,3705529000
2003,21,432316,24468,3781799000
2004,21,445505,24718,3958483000
2005,21,444884,25005,4158552000
2006,21,452098,25467,4458900000
2007,21,459658,25972,4738253000
2008,21,458605,25579,5003911000
2009,21,431576,24730,4557425000
2010,21,418787,24371,4295904000
2011,21,417341,23967,4479637000
2012,21,418965,24001,4776386000
2013,21,427940,23981,4859640000
2014,21,430386,24012,5109121000
2015,21,430110,24307,5372712000
2016,21,432538,24600,5346332000
2017,21,436077,24719,5556405000
2018,21,457915,24763,6108561000
2019,21,456250,24928,6310413000
2001,22,144652,8225,935746000
2002,22,137486,8343,880723000
2003,22,140564,8449,925702000
2004,22,143060,8558,947635000
2005,22,146643,8683,971424000
2006,22,146819,8753,1050892000
2007,22,145338,9000,1069212000
2008,22,148348,9033,1162220000
2009,22,141548,8759,1114346000
2010,22,137895,8571,1080430000
2011,22,136537,8500,1130070000
2012,22,138461,8599,1199721000
2013,22,139904,8589,1236802000
2014,22,145237,8687,1266666000
2015,22,145278,8822,1370697000
2016,22,148318,8883,1413594000
2017,22,152292,9007,1537548000
2018,22,154661,9020,1703623000
2019,22,155004,9210,1739723000
2001,23,176024,11080,1079219000
2002,23,174816,11098,1094656000
2003,23,178117,11134,1124579000
2004,23,179720,11197,1167657000
2005,23,181253,11260,1192575000
2006,23,186794,11468,1325052000
2007,23,186179,11679,1360799000
2008,23,183617,11599,1424697000
2009,23,178830,11555,1410516000
2010,23,176712,11676,1381445000
2011,23,181575,11600,1526325000
2012,23,182134,11726,1572666000
2013,23,180132,11641,1580779000
2014,23,180452,11673,1619325000
2015,23,177263,11649,1652098000
2016,23,175551,11601,1627847000
2017,23,170756,11638,1672001000
2018,23,170466,11591,1733751000
2019,23,173403,11524,1791461000
2001,24,389511,21522,3050719000
2002,24,397150,21892,3109560000
2003,24,406450,21933,3346380000
2004,24,403522,22267,3314910000
2005,24,397943,22599,3306559000
2006,24,406438,23015,3707648000
2007,24,415351,23444,3896092000
2008,24,426871,23249,4100075000
2009,24,410200,23098,4057805000
2010,24,413006,23320,4033702000
2011,24,405792,23095,4118630000
2012,24,411946,23418,4433958000
2013,24,416150,23673,4670397000
2014,24,417502,23859,4801147000
2015,24,429844,24137,4948633000
2016,24,431368,24531,4835257000
2017,24,436153,24896,5184700000
2018,24,439873,24952,5376950000
2019,24,448870,25155,5549414000
2001,25,843763,44276,7568249000
2002,25,819242,45011,7231251000
2003,25,819759,45393,7184353000
2004,25,835633,46210,7378060000
2005,25,837185,46503,7645393000
2006,25,860350,47355,8538989000
2007,25,845321,48111,8710849000
2008,25,846509,47486,9052185000
2009,25,811151,46258,8525337000
2010,25,791143,45879,8330985000
2011,25,800099,45561,8859887000
2012,25,829532,45997,9340705000
2013,25,846794,46092,9831947000
2014,25,869120,46533,10365935000
2015,25,870957,47182,10134983000
2016,25,894825,47678,10352448000
2017,25,927082,48584,11502321000
2018,25,928504,48666,11811586000
2019,25,942909,49268,12322773000
2001,26,532082,28378,4151408000
2002,26,510920,28664,3976340000
2003,26,517253,28819,4117901000
2004,26,523298,29094,4277245000
2005,26,518637,29081,4263866000
2006,26,527321,29263,4581278000
2007,26,531101,29464,4930925000
2008,26,540661,29172,5010398000
2009,26,510760,28549,4779168000
2010,26,500561,28660,4668516000
2011,26,502224,28025,4894634000
2012,26,516355,28135,5417154000
2013,26,528314,28211,5712518000
2014,26,535855,28570,5843785000
2015,26,555337,28762,6253364000
2016,26,563635,29005,6401613000
2017,26,579169,29247,7072180000
2018,26,596856,29368,7455059000
2019,26,611303,29517,7906099000
2001,27,601944,34810,6143151000
2002,27,570850,35872,5322984000
2003,27,567100,36361,5264700000
2004,27,569167,37279,5409231000
2005,27,604621,38377,5925586000
2006,27,633945,40042,6591056000
2007,27,665933,42272,7067479000
2008,27,681763,42795,7666823000
2009,27,669388,42870,7650660000
2010,27,663221,43790,7390834000
2011,27,676825,44498,7920426000
2012,27,702811,46346,8574787000
2013,27,740278,47843,9184003000
2014,27,771417,49561,9909822000
2015,27,800503,51606,10419116000
2016,27,836194,53540,10988999000
2017,27,865734,55747,11959406000
2018,27,903665,57400,13252661000
2019,27,925951,59065,13961962000
2001,28,446790,30818,2949323000
2002,28,446028,31181,3042665000
2003,28,439831,31300,3031810000
2004,28,446337,31979,3196442000
2005,28,455798,32613,3317718000
2006,28,479546,33141,3987731000
2007,28,487954,33828,4148264000
2008,28,490672,33950,4367662000
2009,28,474916,33852,4225932000
2010,28,462308,33954,4127904000
2011,28,472103,34037,4485560000
2012,28,487972,34647,5032466000
2013,28,501503,35131,5268512000
2014,28,511818,35693,5587389000
2015,28,514240,36159,5825830000
2016,28,510087,36459,5483507000
2017,28,516499,36942,5831782000
2018,28,521429,36966,6124260000
2019,28,532983,37084,6514520000
2001,29,58842,3938,353877000
2002,29,57545,3927,347665000
2003,29,57251,3951,379534000
2004,29,60018,3978,378467000
2005,29,60290,4049,394116000
2006,29,62124,4052,419581000
2007,29,60422,4092,418635000
2008,29,61113,4004,443233000
2009,29,59001,3890,426081000
2010,29,57805,3904,414174000
2011,29,58171,3834,422685000
2012,29,58480,3894,448895000
2013,29,57817,3901,463653000
2014,29,59595,3939,499266000
2015,29,59312,3925,481388000
2016,29,59976,3977,498921000
2017,29,60892,3999,524100000
2018,29,60904,3910,537201000
2019,29,60284,3918,560972000
2001,30,188644,10450,1361568000
2002,30,186643,10564,1391047000
2003,30,188789,10733,1435591000
2004,30,188141,10881,1484855000
2005,30,185709,11060,1501351000
2006,30,185265,11247,1563558000
2007,30,185536,11436,1561553000
2008,30,187850,11247,1625836000
2009,30,177670,10855,1573519000
2010,30,174742,10746,1562196000
2011,30,178615,10624,1678159000
2012,30,179212,10600,1754907000
2013,30,178521,10511,1746249000
2014,30,183920,10579,1811204000
2015,30,190848,10651,1930869000
2016,30,191831,10751,1939986000
2017,30,191235,10942,2088567000
2018,30,190408,10961,2094871000
2019,30,194248,11118,2210389000
2001,31,95387,7341,669817000
2002,31,94298,7516,677710000
2003,31,95273,7684,692692000
2004,31,96809,8098,716511000
2005,31,98449,8260,765563000
2006,31,104253,8435,892067000
2007,31,105512,8517,951195000
2008,31,106463,8412,1015933000
2009,31,102081,8095,975933000
2010,31,100263,8089,955699000
2011,31,100568,7942,966339000
2012,31,101887,8013,1052970000
2013,31,103244,8127,1085761000
2014,31,105964,8169,1137501000
2015,31,108941,8230,1209435000
2016,31,111124,8320,1210647000
2017,31,113484,8454,1371719000
2018,31,114774,8484,1437502000
2019,31,116429,8536,1462338000
2001,32,193693,11562,1266812000
2002,32,183338,11759,1212527000
2003,32,182665,11842,1237476000
2004,32,187734,11951,1336880000
2005,32,186796,11986,1380855000
2006,32,198570,12081,1495628000
2007,32,195996,12382,1562482000
2008,32,197529,12231,1636770000
2009,32,190046,11949,1605440000
2010,32,178542,11766,1526972000
2011,32,178620,11557,1600259000
2012,32,184510,11619,1694221000
2013,32,186397,11553,1741205000
2014,32,185264,11540,1751130000
2015,32,190017,11501,1842983000
2016,32,188916,11533,1836893000
2017,32,191339,11634,1894062000
2018,32,198479,11626,2007526000
2019,32,200407,11617,2098475000
2001,33,99251,6296,625075000
2002,33,98340,6412,632310000
2003,33,102016,6529,688475000
2004,33,104742,6627,705101000
2005,33,108299,6787,742759000
2006,33,110235,6914,819580000
2007,33,118718,7112,887474000
2008,33,127698,7139,1005709000
2009,33,121697,7153,982683000
2010,33,117837,7189,950587000
2011,33,117365,7173,1023085000
2012,33,122074,7249,1137560000
2013,33,124088,7314,1167368000
2014,33,127268,7440,1249195000
2015,33,130282,7612,1349711000
2016,33,130441,7712,1361560000
2017,33,131440,7784,1447496000
2018,33,134229,7781,1537882000
2019,33,135260,7803,1598509000
2001,34,57460,4256,311396000
2002,34,58938,4347,325624000
2003,34,60845,4369,349412000
2004,34,60003,4454,343192000
2005,34,61638,4527,367651000
2006,34,64784,4639,417290000
2007,34,66999,4876,447955000
2008,34,69711,4809,483246000
2009,34,65358,4717,457920000
2010,34,62702,4646,448504000
2011,34,63045,4618,459330000
2012,34,62409,4625,487374000
2013,34,63000,4568,500179000
2014,34,63111,4574,525097000
2015,34,63539,4567,533640000
2016,34,65655,4594,539015000
2017,34,65608,4599,566552000
2018,34,67654,4624,613249000
2019,34,70603,4516,648424000
2001,35,87730,5385,538280000
2002,35,86460,5491,550518000
2003,35,88644,5558,565326000
2004,35,93424,5604,603539000
2005,35,92948,5701,614878000
2006,35,94926,5948,673866000
2007,35,94688,6042,727782000
2008,35,99444,6044,763481000
2009,35,96175,5979,760953000
2010,35,95610,6068,763293000
2011,35,97024,6059,815069000
2012,35,97126,6062,861454000
2013,35,99907,6117,893331000
2014,35,102004,6175,927083000
2015,35,104539,6206,955322000
2016,35,106487,6328,955111000
2017,35,106992,6481,1014244000
2018,35,111160,6539,1082326000
2019,35,112765,6634,1132381000
2001,36,1053805,61071,9139252000
2002,36,1039612,62411,9228370000
2003,36,1052411,63152,9560334000
2004,36,1073354,64443,10170452000
2005,36,1076604,65634,10601764000
2006,36,1109292,66368,11714674000
2007,36,1113991,67039,12373955000
2008,36,1110019,65926,12506710000
2009,36,1063369,64343,12045961000
2010,36,1048905,63804,11787922000
2011,36,1051138,63109,12218811000
2012,36,1081498,63693,13293017000
2013,36,1099623,64332,13859416000
2014,36,1111466,64858,14307893000
2015,36,1128077,65118,15040734000
2016,36,1153732,65722,15376605000
2017,36,1169012,66091,16214771000
2018,36,1183132,66153,16910862000
2019,36,1190786,66000,17563278000
2001,37,3141,442,14864000
2002,37,3137,438,14542000
2003,37,3366,440,15996000
2004,37,3499,420,18213000
2005,37,3386,421,17224000
2006,37,3416,421,18992000
2007,37,3341,424,19608000
2008,37,3612,420,22695000
2009,37,3912,429,26451000
2010,37,3661,433,24673000
2011,37,3946,445,27399000
2012,37,3767,425,28442000
2013,37,3796,433,29134000
2014,37,3776,425,29426000
2015,37,3908,430,30722000
2016,37,4064,433,34623000
2017,37,3764,428,33265000
2018,37,3864,419,34960000
2019,37,3856,421,35414000
2001,38,480592,24593,3707895000
2002,38,455774,24712,3526312000
2003,38,454014,24394,3578437000
2004,38,454218,24467,3552885000
2005,38,450223,24342,3579010000
2006,38,459084,24309,3888200000
2007,38,440540,24244,3950996000
2008,38,432924,23798,4047820000
2009,38,402576,23013,3676733000
2010,38,392762,22635,3515558000
2011,38,395843,22375,3688739000
2012,38,404635,22330,3931052000
2013,38,408887,22360,4076841000
2014,38,407540,22267,4175699000
2015,38,418725,22181,4363933000
2016,38,424587,22157,4522794000
2017,38,429272,22059,4675692000
2018,38,430027,22013,4972022000
2019,38,429423,21973,5098308000
2001,39,582268,34864,3854646000
2002,39,590297,35789,3942014000
2003,39,596353,36220,4118169000
2004,39,632465,37381,4485810000
2005,39,620746,38298,4574230000
2006,39,648210,39387,5053280000
2007,39,635302,39982,5203367000
2008,39,641847,39373,5473776000
2009,39,608164,38369,5389940000
2010,39,598272,38035,5139399000
2011,39,586734,37235,5163676000
2012,39,596891,37257,5704447000
2013,39,596278,37214,5804988000
2014,39,600102,37215,5976147000
2015,39,607804,37453,6226700000
2016,39,614536,37742,6235064000
2017,39,619691,38048,6542085000
2018,39,629075,38120,6907482000
2019,39,637166,38424,7195060000
2001,40,373777,22453,3025557000
2002,40,363913,22736,3026612000
2003,40,352453,22712,2745928000
2004,40,350226,23146,2873844000
2005,40,355387,23361,2976809000
2006,40,375884,23733,3412981000
2007,40,383811,23943,3603520000
2008,40,394040,24011,4033556000
2009,40,380861,23560,3849214000
2010,40,360366,23372,3550177000
2011,40,366231,23175,3776347000
2012,40,375050,23362,4201531000
2013,40,382224,23434,4351608000
2014,40,391213,23479,4614105000
2015,40,396376,23566,4756275000
2016,40,395866,23735,4507025000
2017,40,394658,23850,4705426000
2018,40,408023,23868,5013023000
2019,40,408128,24052,5392613000
2001,41,54854,3888,327148000
2002,41,54513,4035,329930000
2003,41,55591,4117,342810000
2004,41,57023,4218,353192000
2005,41,56753,4365,368514000
2006,41,57600,4417,394008000
2007,41,58831,4585,419934000
2008,41,57549,4580,423853000
2009,41,55540,4452,407430000
2010,41,53718,4390,394588000
2011,41,54616,4402,417285000
2012,41,55015,4372,447202000
2013,41,57165,4435,464048000
2014,41,58608,4475,485639000
2015,41,59932,4592,522478000
2016,41,62632,4660,571340000
2017,41,65041,4755,596007000
2018,41,67471,4852,629822000
2019,41,67560,4893,665230000
2001,42,1810999,83228,19201966000
2002,42,1720184,83914,18304277000
2003,42,1653177,83888,17774071000
2004,42,1654184,85246,17784534000
2005,42,1654162,86068,18876250000
2006,42,1693665,87892,20794844000
2007,42,1736488,88801,21753892000
2008,42,1741800,88667,22996067000
2009,42,1656277,87738,21341013000
2010,42,1634120,88095,20755671000
2011,42,1659517,88335,22103859000
2012,42,1724514,90060,24392593000
2013,42,1781823,91969,25298059000
2014,42,1843963,93854,27279093000
2015,42,1917720,96076,29052015000
2016,42,1983959,98637,30027101000
2017,42,2056352,101544,32301366000
2018,42,2087552,102470,34195536000
2019,42,2140124,104352,35857257000
2001,43,48548,3612,319569000
2002,43,48597,3647,327024000
2003,43,49489,3670,345688000
2004,43,50283,3726,370944000
2005,43,51979,3786,386431000
2006,43,54333,3887,429150000
2007,43,53718,3988,440460000
2008,43,53878,4016,448760000
2009,43,53527,3993,430747000
2010,43,54235,4021,451794000
2011,43,55474,4083,484759000
2012,43,56721,4304,552871000
2013,43,59480,4392,612928000
2014,43,64803,4463,675527000
2015,43,65639,4492,768428000
2016,43,65105,4469,716411000
2017,43,63784,4514,744975000
2018,43,64774,4512,784414000
2019,43,65615,4512,812861000
2001,44,175553,11418,1016527000
2002,44,173136,11671,1037868000
2003,44,177635,11775,1071052000
2004,44,183525,12137,1123382000
2005,44,185553,12368,1187122000
2006,44,189284,12453,1305358000
2007,44,189650,12513,1363163000
2008,44,193299,12491,1429638000
2009,44,182657,12221,1358145000
2010,44,175221,12178,1295813000
2011,44,177654,11916,1349117000
2012,44,181631,11910,1482018000
2013,44,176846,12266,1485542000
2014,44,186865,12514,1614764000
2015,44,190983,12833,1702645000
2016,44,197568,12937,1756834000
2017,44,200004,12526,1893861000
2018,44,203038,12826,1972780000
2019,44,205875,12815,2058680000
2001,45,215232,12501,1436914000
2002,45,207494,12757,1395573000
2003,45,209898,12903,1461028000
2004,45,221795,13081,1595096000
2005,45,219105,13194,1607183000
2006,45,220064,13319,1754599000
2007,45,214341,13574,1791239000
2008,45,217156,13467,1853682000
2009,45,209406,13249,1833794000
2010,45,202616,13253,1760390000
2011,45,203032,12923,1805827000
2012,45,208005,13031,1969434000
2013,45,210091,13049,1993558000
2014,45,214422,13095,2103513000
2015,45,216677,13128,2165707000
2016,45,220881,13146,2218447000
2017,45,221908,13273,2358654000
2018,45,221723,13228,2491971000
2019,45,223191,13275,2507129000
2001,46,25387,2456,158560000
2002,46,25102,2504,155875000
2003,46,26085,2481,164459000
2004,46,26742,2537,176813000
2005,46,27081,2569,181061000
2006,46,28082,2595,200728000
2007,46,28084,2636,211169000
2008,46,27989,2601,212307000
2009,46,26776,2533,197264000
2010,46,26999,2488,205507000
2011,46,26473,2428,212273000
2012,46,26789,2442,209017000
2013,46,27230,2413,225718000
2014,46,27662,2409,231044000
2015,46,28218,2425,248283000
2016,46,28832,2412,256947000
2017,46,29180,2453,276905000
2018,46,28820,2439,281318000
2019,46,28056,2458,279935000
2001,47,1626698,84478,16058461000
2002,47,1575631,86258,15815136000
2003,47,1581406,87658,16183986000
2004,47,1592161,89693,17138182000
2005,47,1620697,91073,17682048000
2006,47,1642755,91787,19032564000
2007,47,1673297,91919,20177781000
2008,47,1660641,90181,20999029000
2009,47,1605201,88564,19224697000
2010,47,1553040,87933,19020857000
2011,47,1577440,87385,20406602000
2012,47,1646132,88449,21765043000
2013,47,1681648,89100,22944844000
2014,47,1713362,90156,23955185000
2015,47,1736696,91080,24895699000
2016,47,1748294,92226,24819696000
