"naics","employment_march","establishments","payroll_quarter1","year"
"11",183476,26447,1092148000,2001
"21",485565,24319,6257007000,2001
"22",654484,17702,12103087000,2001
"23",6491994,698898,55410571000,2001
"31",15950424,352619,156877325000,2001
"42",6142089,438924,69622636000,2001
"44",14890289,1119950,75149211000,2001
"48",3750663,190683,32143297000,2001
"51",3754698,137293,56071358000,2001
"52",6248400,425028,119039176000,2001
"53",2013673,307003,15618687000,2001
"54",7156579,736454,90660512000,2001
"55",2879223,47559,60716209000,2001
"56",9061987,362665,53853801000,2001
"61",2612430,70878,16149241000,2001
"62",14534726,671370,108559990000,2001
"71",1780362,105961,10330266000,2001
"72",9972301,548569,30734109000,2001
"81",5370479,719402,27698652000,2001
"95",1022114,14934,14273860000,2001
"99",105228,78644,431157000,2001
"11",181162,26552,1135049000,2002
"21",465775,23871,6344623000,2002
"22",648254,18432,12050372000,2002
"23",6307370,710325,55646098000,2002
"31",14393609,344341,143570109000,2002
"42",5860256,436900,65025131000,2002
"44",14819904,1125693,76597249000,2002
"48",3581013,195143,30976770000,2002
"51",3536120,138590,50772960000,2002
"52",6414583,450422,115604511000,2002
"53",2017347,323024,15541765000,2002
"54",7046205,772365,88099560000,2002
"55",2913798,49383,56320064000,2002
"56",8299217,343544,50420559000,2002
"61",2701675,73701,17367685000,2002
"62",14900148,703540,116783068000,2002
"71",1800991,110375,10547523000,2002
"72",10048875,565149,30874086000,2002
"81",5420087,740118,28680591000,2002
"95",1011496,13580,13781099000,2002
"99",32769,35722,132389000,2002
"11",180673,25861,1156041000,2003
"21",454550,23599,6060686000,2003
"22",675938,18413,12710335000,2003
"23",6381404,732175,55594190000,2003
"31",14132020,341849,141795799000,2003
"42",5863860,432537,66806052000,2003
"44",14867825,1115906,76037885000,2003
"48",4067935,202673,34911773000,2003
"51",3599902,140027,53562342000,2003
"52",6463706,460591,115743742000,2003
"53",2044738,333552,16324294000,2003
"54",7340246,780870,94426324000,2003
"55",2879156,47432,57673880000,2003
"56",8511138,348686,51574923000,2003
"61",2776615,76422,18074617000,2003
"62",15472183,716350,123127924000,2003
"71",1832985,113991,10540081000,2003
"72",10439651,575347,32847037000,2003
"81",5367166,731967,28475171000,2003
"99",46352,36497,163615000,2003
"11",182121,25528,1184778000,2004
"21",470280,23842,6437702000,2004
"22",634734,17675,12828770000,2004
"23",6647641,760372,57765436000,2004
"31",13821976,339083,142981919000,2004
"42",5907051,429489,70031006000,2004
"44",15351431,1119849,79154684000,2004
"48",4098870,206878,35307807000,2004
"51",3472427,139681,52778443000,2004
"52",6481304,470627,128836686000,2004
"53",2086085,348712,17448789000,2004
"54",7569981,804569,99435780000,2004
"55",2824787,46328,60670014000,2004
"56",8708052,358902,53630998000,2004
"61",2893346,78760,19174900000,2004
"62",15814812,731917,129185869000,2004
"71",1889044,118827,11183523000,2004
"72",10749811,591022,34411788000,2004
"81",5416193,734506,29295449000,2004
"99",54978,41157,204046000,2004
"11",168744,24102,1154848000,2005
"21",497272,24696,7298434000,2005
"22",633106,17326,13031818000,2005
"23",6781327,787672,61585526000,2005
"31",13667337,333460,144823337000,2005
"42",5968929,429823,73825884000,2005
"44",15338672,1123207,81462272000,2005
"48",4168016,211150,36355134000,2005
"51",3402599,141290,51906545000,2005
"52",6431837,476806,137862653000,2005
