"naics","employment_march","establishments","payroll_quarter1","year"
"1131",3203,441,29770000,2001
"1132",2049,256,17223000,2001
"1133",72732,12098,455764000,2001
"1141",7350,2252,55845000,2001
"1142",2604,384,19746000,2001
"1151",59615,5464,310021000,2001
"1152",20750,3999,106170000,2001
"1153",15173,1553,97609000,2001
"2111",87980,7691,1740963000,2001
"2121",70999,1266,919627000,2001
"2122",32810,485,434032000,2001
"2123",96926,5572,922441000,2001
"2131",196850,9305,2239944000,2001
"2211",515988,9207,9855282000,2001
"2212",95348,2831,1854502000,2001
"2213",43148,5664,393303000,2001
"2331",88993,13358,954073000,2001
"2332",735386,155437,5825444000,2001
"2333",792594,47011,8151474000,2001
"2341",311019,12133,2791413000,2001
"2349",590188,28343,5436154000,2001
"2351",898440,89550,8121438000,2001
"2352",220433,40364,1335693000,2001
"2353",831895,65860,8064094000,2001
"2354",529521,50885,3840323000,2001
"2355",337558,57441,2247106000,2001
"2356",247408,30247,1670263000,2001
"2357",295285,30743,2007618000,2001
"2358",22296,3722,167418000,2001
"2359",590978,73804,4798060000,2001
"3111",49235,1779,437189000,2001
"3112",57643,916,603305000,2001
"3113",86916,1750,701636000,2001
"3114",165395,1804,1216643000,2001
"3115",131799,1774,1191608000,2001
"3116",496177,4074,2924989000,2001
"3117",39855,823,234064000,2001
"3118",298017,10817,2108567000,2001
"3119",145109,3048,1160113000,2001
"3121",145627,3033,1414813000,2001
"3122",25237,179,368196000,2001
"3131",66321,605,413490000,2001
"3132",170441,1971,1227417000,2001
"3133",71728,1876,540694000,2001
"3141",111453,2928,697426000,2001
"3149",90569,4038,564652000,2001
"3151",70479,1113,376900000,2001
"3152",328974,12915,1723710000,2001
"3159",42289,2124,238002000,2001
"3161",11660,358,92037000,2001
"3162",27012,381,163258000,2001
"3169",21895,1024,126114000,2001
"3211",122188,4594,860496000,2001
"3212",116445,1944,892835000,2001
"3219",318874,10751,2023613000,2001
"3221",170033,606,2359744000,2001
"3222",363218,5133,3326757000,2001
"3231",784520,37895,6875628000,2001
"3241",103570,2253,1547115000,2001
"3251",183249,2383,2762227000,2001
"3252",107863,906,1456177000,2001
"3253",35648,950,407195000,2001
"3254",233503,1825,3596002000,2001
"3255",72935,2098,799160000,2001
"3256",119062,2383,1285593000,2001
"3259",117501,2816,1402850000,2001
"3261",803846,13367,6369146000,2001
"3262",198657,2614,1809693000,2001
"3271",73539,1833,593475000,2001
"3272",129971,2348,1252758000,2001
"3273",220614,9386,1848302000,2001
"3274",18997,362,187741000,2001
"3279",81109,2803,770082000,2001
"3311",148381,1374,1863668000,2001
"3312",65597,939,625173000,2001
"3313",78218,659,805688000,2001
"3314",72295,939,784788000,2001
"3315",208021,2773,1938189000,2001
"3321",158033,3110,1460411000,2001
"3322",71055,1598,653878000,2001
"3323",418133,12363,3490164000,2001
"3324",91176,1702,902194000,2001
"3325",68884,939,590196000,2001
"3326",70284,1775,541446000,2001
"3327",418202,26216,3763048000,2001
"3328",152944,6116,1227095000,2001
"3329",312647,6972,2957337000,2001
"3331",193884,2964,1937583000,2001
"3332",177435,4408,2229129000,2001
"3333",125312,2457,1319854000,2001
"3334",179211,1814,1545088000,2001
"3335",220206,9691,2389528000,2001
"3336",104525,949,1275545000,2001
"3339",332281,6639,3533340000,2001
"3341",199637,1916,3064832000,2001
"3342",269498,2200,4251240000,2001
"3343",28686,561,252862000,2001
"3344",603160,5973,8163241000,2001
"3345",453496,5151,6670107000,2001
"3346",38830,963,408118000,2001
"3351",72052,1307,608151000,2001
"3352",94410,388,759601000,2001
"3353",193238,2751,1861683000,2001
"3359",215713,2494,2136165000,2001
"3361",215132,410,3187017000,2001
"3362",132765,2062,1009092000,2001
"3363",739667,5526,8250155000,2001
"3364",449383,1792,6643515000,2001
"3365",35423,218,401502000,2001
"3366",138962,1815,1286251000,2001
"3369",42113,804,431551000,2001
"3371",401541,15371,2559272000,2001
"3372",171157,4113,1491038000,2001
"3379",46499,1109,331152000,2001
"3391",304435,12151,3151105000,2001
"3399",408730,18567,3174921000,2001
"4211",387296,27572,3486090000,2001
"4212",166135,14545,1624239000,2001
"4213",185391,15479,1790109000,2001
"4214",776712,43076,11706926000,2001
"4215",166365,11899,1825641000,2001
"4216",559234,37816,9278489000,2001
"4217",247959,21323,2614428000,2001
"4218",797004,72113,8465974000,2001
"4219",347384,39612,3170166000,2001
"4221",225894,14430,2252202000,2001
"4222",234917,7189,3565839000,2001
"4223",212432,19471,2230106000,2001
"4224",871071,39206,8005357000,2001
"4225",90547,9286,583118000,2001
"4226",164259,15819,2139262000,2001
"4227",128900,10375,1557896000,2001
"4228",160630,4566,1716982000,2001
"4229",419959,35147,3609812000,2001
"4411",1225419,51632,11250967000,2001
"4412",131434,14922,872445000,2001
"4413",493365,59174,3002126000,2001
"4421",278231,29920,1842087000,2001
"4422",289087,35846,1472255000,2001
"4431",425736,47747,2889717000,2001
